,region,new,price,bedrm,bth,sqft
100 Renee Dr,"Ashland, MO",OLD,"$229,900",3bd,2ba,"2,072 sqft"
13600 N Robinson Rd,"Hallsville, MO",OLD,"$350,000",3bd,2ba,"2,039 sqft"
4936 County Road 2000,"Auxvasse, MO",OLD,"$287,000",4bd,3ba,"2,904 sqft"
15560 S Hawkins Rd,"Ashland, MO",OLD,"$350,000",5bd,4ba,"3,652 sqft"
13725 N Frink Rd,"Hallsville, MO",FOR SALE BY OWNER,"$306,000",4bd,2ba,"1,633 sqft"
4898 Valley Forge Cir,"Ashland, MO",OLD,"$225,000",3bd,2ba,"1,611 sqft"
14870 Larry Ln,"Hallsville, MO",NEW,"$268,900",3bd,2ba,"1,836 sqft"
2463 S Roby Farm Rd,"Rocheport, MO",OLD,"$735,000",4bd,4ba,"6,082 sqft"
5701 E Flintstone Ln,"Ashland, MO",OLD,"$549,500",3bd,2ba,"3,009 sqft"
1004 Hampton Dr,"Centralia, MO",FOR SALE BY OWNER,"$289,900",3bd,2ba,"1,904 sqft"
4217 Shady Ln,"Fulton, MO",OLD,"$244,900",3bd,2ba,"2,453 sqft"
402 Wilson Ln,"Ashland, MO",OLD,"$199,900",3bd,3ba,"1,832 sqft"
809 Chris Ct,"Centralia, MO",FOR SALE BY OWNER,"$199,900",3bd,2ba,"1,651 sqft"
18250 N Adams Rd,"Centralia, MO",OLD,"$279,900",3bd,2ba,"2,132 sqft"
4965 America Dr,"Ashland, MO","OPEN SUN, 2-3:30PM","$239,900",3bd,2ba,"1,750 sqft"
6801 E Hunters Bend Rd,"Ashland, MO",FOR SALE BY OWNER,"$405,000",3bd,2ba,"2,521 sqft"
4000 E Christian School Rd,"Hartsburg, MO",OLD,"$230,000",3bd,2ba,"1,130 sqft"
617 S Hawthorn St,"Centralia, MO",OLD,"$157,900",4bd,2ba,"1,738 sqft"
4470 Stinson Mdws,"Fulton, MO",OLD,"$400,000",2bd,2ba,"2,061 sqft"
303 Redwood Dr,"Ashland, MO",FOR SALE BY OWNER,"$200,000",3bd,2ba,"1,400 sqft"
9978 State Road Ave,"New Bloomfield, MO",OLD,"$89,900",3bd,2ba,"1,782 sqft"
2781 County Road 233,"Kingdom City, MO",OLD,"$299,900",3bd,3ba,"2,696 sqft"
113 Elm Ave,"New Bloomfield, MO",OLD,"$54,900",3bd,1ba,"1,066 sqft"
7055 Greenwood Hls,"Fulton, MO",OLD,"$269,900",4bd,3ba,"2,949 sqft"
1221 State Route Y,"Harrisburg, MO",OLD,"$275,000",2bd,2ba,"1,641 sqft"
5035 N Cleveland Ave,"Kansas City, MO","NEWOPEN SUN, 10-12PM","$210,000",3bd,3ba,"1,938 sqft"
305 NE 83rd St,"Kansas City, MO",NEW,"$179,900",3bd,2ba,"1,300 sqft"
911 E 75th St,"Tower Homes, Kansas City, MO",OLD,"$229,000",3bd,2ba,"1,432 sqft"
9727 N Flora Ave,"Kansas City, MO",FOR SALE BY OWNER,"$312,000",4bd,4ba,"3,000 sqft"
7611 Oak St,"Tower Homes, Kansas City, MO",OLD,"$289,950",4bd,2ba,"1,733 sqft"
7409 Forest Ave,"East Meyer 6, Kansas City, MO",OLD,"$139,900",3bd,2ba,"1,331 sqft"
1208 NE 82nd Ter,"Kansas City, MO",NEW,"$245,900",3bd,2ba,"2,421 sqft"
9745 Grandview Rd,"Oakwood, Kansas City, MO",OLD,"$285,000",4bd,2ba,"3,085 sqft"
3331 Wyandotte St,"Broadway Gillham, Kansas City, MO",NEW,"$255,000",3bd,2ba,"2,040 sqft"
10009 N Harrison Dr,"Kansas City, MO",NEW,"$325,000",5bd,3ba,"2,400 sqft"
6144 Charlotte St,"Western 49-63, Kansas City, MO",NEW,"$270,000",3bd,2ba,"1,381 sqft"
407 NW 40th St,"Kansas City, MO",FOR SALE BY OWNER,"$295,000",4bd,3ba,"2,800 sqft"
12501 E 53rd St,"Faireway Hills, Kansas City, MO",NEW,"$200,000",3bd,4ba,"1,584 sqft"
1436 W 51st St,"Westwood, Kansas City, MO",OLD,"$420,000",3bd,2ba,"2,025 sqft"
3803 S Benton Ave,"Oak Park Northwest, Kansas City, MO",NEW,"$129,900",3bd,3ba,"1,268 sqft"
1335 E 109th Ter,"Red Bridge North, Kansas City, MO",NEW,"$279,950",4bd,3ba,"2,258 sqft"
6306 Fairlane Dr,"Fairlane, Kansas City, MO",NEW,"$169,900",3bd,2ba,"1,248 sqft"
2818 Harrison St,"Longfellow, Kansas City, MO",NEW,"$250,000",4bd,3ba,"2,917 sqft"
1404 E 28th St,"Beacon Hills, Kansas City, MO",NEWFOR SALE BY OWNER,"$225,000",3bd,2ba,"1,480 sqft"
3452 N Bales Ave,"Kansas City, MO",NEW,"$168,500",3bd,3ba,"1,680 sqft"
6000 McGee St,"Morningside, Kansas City, MO",NEW,"$495,000",4bd,3ba,"2,968 sqft"
145 W 61st Ter,"Wornall Homestead, Kansas City, MO",OLD,"$380,000",3bd,3ba,"2,030 sqft"
2635 Belleview Ave,"Westside South, Kansas City, MO",OLD,"$110,000",3bd,2ba,"1,228 sqft"
7222 Grand Ave,"Tower Homes, Kansas City, MO",OLD,"$260,000",2bd,2ba,"1,184 sqft"
10925 N Lane Ave,"Kansas City, MO",NEW,"$298,000",4bd,3ba,"2,940 sqft"
4617 Liberty St,"West Plaza, Kansas City, MO",NEW,"$325,000",3bd,2ba,"1,064 sqft"
3216 E 30th St,"Santa Fe, Kansas City, MO",OLD,"$175,000",4bd,2ba,"2,954 sqft"
4215 College Ave,"Oak Park Southeast, Kansas City, MO",OLD,"$99,975",3bd,1ba,"1,176 sqft"
4812 Wyoming St,"Westwood, Kansas City, MO",NEW,"$229,000",2bd,1ba,934 sqft
7914 NW Anita Dr,"Kansas City, MO",OLD,"$299,000",4bd,3ba,"2,336 sqft"
710 E 63rd Ter,"Holmes Park, Kansas City, MO",OLD,"$250,000",3bd,2ba,"1,564 sqft"
10001 N Wallace Ave,"Kansas City, MO",NEW,"$415,000",5bd,3ba,"2,888 sqft"
6438 Rockhill Rd,"Holmes Park, Kansas City, MO",OLD,"$262,500",3bd,3ba,"1,800 sqft"
