,region,new,price,bedrm,bth,sqft
501 W Ildereen St,"Fassnight, Springfield, MO",OLD,"$79,900",2bd,1ba,780 sqft
1318 S Virginia Ave,"Phelps Grove/University Heights, Springfield, MO",FOR SALE BY OWNER,"$395,000",4bd,3ba,"2,400 sqft"
2032 N Grant Ave,"Woodland Heights, Springfield, MO",OLD,"$68,000",3bd,1ba,"1,411 sqft"
1335 W State St,"West Central, Springfield, MO",FOR SALE BY OWNER,"$89,900",2bd,1ba,728 sqft
1512 N Edgemont Cir,"Westside, Springfield, MO",OLD,"$379,977",4bd,4ba,"3,527 sqft"
1615 W Nichols St,"Heart of the Westside, Springfield, MO",OLD,"$159,900",4bd,2ba,"3,026 sqft"
512 S Newton Ave,"West Central, Springfield, MO",OLD,"$24,900",2bd,1ba,672 sqft
2309 E Shady Glen Dr,"Primrose, Springfield, MO",OLD,"$359,900",4bd,4ba,"4,134 sqft"
302 S Hickory Hills Blvd,"Springfield, MO",OLD,"$749,900",5bd,4ba,"4,800 sqft"
1356 S Kimbrough Ave,"Phelps Grove/University Heights, Springfield, MO",FOR SALE BY OWNER,"$159,900",2bd,2ba,"1,170 sqft"
6025 S Lakepoint Dr,"Springfield, MO",OLD,"$429,900",4bd,4ba,"3,745 sqft"
912 W Della St,"Doling Park, Springfield, MO",OLD,"$19,900",2bd,1ba,616 sqft
928 N Douglas Ave,"Grant Beach, Springfield, MO",OLD,"$72,500",4bd,2ba,"2,550 sqft"
4774 E Whitman Rd,"Springfield, MO",NEWNEW CONSTRUCTIONQUICK MOVE-IN,"$303,497",4bd,2ba,"1,923 sqft"
6020 S Hampton Ave,"Springfield, MO",OLD,"$575,000",4bd,4ba,"3,725 sqft"
5718 S Woodcliffe Dr,"Springfield, MO",OLD,"$389,900",3bd,2ba,"2,710 sqft"
3391 N Wright Wood Ave,"Springfield, MO",OLD,"$330,000",3bd,3ba,"2,610 sqft"
2262 N Polo,"Springfield, MO",OLD,"$999,900",6bd,5ba,"7,635 sqft"
918 N Cleveland Ave,"Grant Beach, Springfield, MO",OLD,"$65,000",1bd,1ba,895 sqft
1882 N Grant Ave,"Woodland Heights, Springfield, MO",OLD,"$42,500",2bd,1ba,936 sqft
2917 W Oakhaven Ln,"Springfield, MO",OLD,"$494,900",5bd,3ba,"4,304 sqft"
1676 N Bristol Ave,"Springfield, MO",OLD,"$353,977",4bd,3ba,"2,750 sqft"
4039 E Kensington St,"Springfield, MO",OLD,"$650,000",6bd,5ba,"6,172 sqft"
Lions Gate,"Springfield, MO",NEWNEW CONSTRUCTIONBUILDABLE PLAN,"$334,495+",4bd,2ba,"2,200 sqft"
3634 W Suzanne Pl,"Springfield, MO",OLD,"$339,000",4bd,3ba,"3,622 sqft"
1334 N Warren Ave,"Heart of the Westside, Springfield, MO",OLD,"$7,500",1bd,1ba,720 sqft
5954 S McCann Ave,"Springfield, MO",OLD,"$425,000",4bd,3ba,"3,736 sqft"
4808 W Latoka St #72,"Springfield, MO",OLD,"$310,000",4bd,3ba,"3,200 sqft"
601 N National Ave #302,"Downtown, Springfield, MO",OLD,"$209,900",2bd,2ba,"1,360 sqft"
911 S Saint Andrews Cir,"Springfield, MO",OLD,"$649,900",3bd,3ba,"4,499 sqft"
3448 E Catalpa St,"Springfield, MO",FOR SALE BY OWNER,"$285,000",3bd,3ba,"3,078 sqft"
3143 W Chestnut St,"Fairfield Acres/Bissett, Springfield, MO",OLD,"$130,000",2bd,1ba,960 sqft
725 E Division St,"Midtown, Springfield, MO",OLD,"$67,500",2bd,1ba,864 sqft
3132 W College St,"Westside, Springfield, MO",OLD,"$128,900",3bd,2ba,"1,272 sqft"
3017 W Latoka St,"Sherwood, Springfield, MO",OLD,"$110,000",2bd,1ba,"1,388 sqft"
4845 S Washita St #22,"Springfield, MO",OLD,"$250,000",4bd,2ba,"1,845 sqft"
1540 N National Ave,"Weller, Springfield, MO",OLD,"$74,900",3bd,1ba,"1,346 sqft"
6029 S Black Oak Dr,"Springfield, MO",OLD,"$450,000",5bd,4ba,"4,350 sqft"
1326 E Downing St,"Meador Park, Springfield, MO",OLD,"$168,950",3bd,2ba,"1,536 sqft"
1371 E Blaine St,"Weller, Springfield, MO",OLD,"$35,000",2bd,1ba,558 sqft
1172 S National Ave,"Delaware, Springfield, MO",OLD,"$199,900",3bd,2ba,"1,548 sqft"
3526 N Farm Road 127,"Springfield, MO",OLD,"$239,900",3bd,1ba,"2,153 sqft"
2520 W Elm St,"Westside, Springfield, MO",BANK OWNED,"$49,200",3bd,1ba,"1,480 sqft"
1222 E Scott St,"Weller, Springfield, MO",OLD,"$62,500",2bd,1ba,"1,007 sqft"
4796 W Latoka St #71,"Springfield, MO",OLD,"$345,000",5bd,3ba,"3,470 sqft"
2059 E Walnut St,"Bingham, Springfield, MO",OLD,"$72,000",2bd,1ba,844 sqft
925 N Douglas Ave,"Grant Beach, Springfield, MO",OLD,"$65,000",4bd,1ba,"2,072 sqft"
1898 S Lullwood Ave #52,"Springfield, MO",OLD,"$220,000",3bd,2ba,"1,560 sqft"
1671 W Gaslight Dr,"Springfield, MO",OLD,"$384,900",4bd,3ba,"2,669 sqft"
3332 S Farm Road 187,"Springfield, MO",OLD,"$975,000",4bd,4ba,"5,475 sqft"
1435 N Broadway Ave,"Grant Beach, Springfield, MO",OLD,"$169,900",4bd,3ba,"2,436 sqft"
1153 W Melrose St,"Springfield, MO",OLD,"$264,900",4bd,3ba,"2,465 sqft"
Lions Gate,"Springfield, MO",NEWNEW CONSTRUCTIONBUILDABLE PLAN,"$340,500+",4bd,3ba,"2,249 sqft"
1964 S Shayla Ave #33,"Springfield, MO",OLD,"$280,000",4bd,2ba,"2,064 sqft"
1524 W Lynn St,"Grant Beach, Springfield, MO",OLD,"$72,000",2bd,1ba,820 sqft
1484 S Farm Road 205,"Springfield, MO",OLD,"$1,275,000",6bd,6ba,"7,699 sqft"
5678 W Pine St,"Springfield, MO",OLD,"$229,900",4bd,2ba,"1,691 sqft"
3007 W Madison St,"Westside, Springfield, MO",OLD,"$149,900",4bd,1ba,"1,240 sqft"
1700 W Webster St,"Heart of the Westside, Springfield, MO",OLD,"$54,900",2bd,1ba,"1,338 sqft"
3466 N Prince Ln,"Springfield, MO",FOR SALE BY OWNER,"$425,550",4bd,3ba,"4,032 sqft"
4748 E Rutherford St,"Springfield, MO",OLD,"$422,500",4bd,4ba,"2,978 sqft"
The Lakes at Wild Horse,"Springfield, MO",NEWNEW CONSTRUCTIONBUILDABLE PLAN,"$339,495+",3bd,3ba,"2,353 sqft"
810 W Catalpa St,"Fassnight, Springfield, MO",OLD,"$349,900",5bd,2ba,"2,428 sqft"
2635 E Lombard St,"Bingham, Springfield, MO",AUCTION,Contact For Price,3bd,2ba,"1,916 sqft"
806 W Ildereen St,"Fassnight, Springfield, MO",OLD,"$65,000",2bd,1ba,864 sqft
4756 E Whitman Rd,"Westside, Springfield, MO",OLD,"$359,977",4bd,3ba,"2,750 sqft"
1336 N Prospect Ave,"Weller, Springfield, MO",OLD,"$58,000",2bd,1ba,"1,012 sqft"
1017 W Florida St,"Woodland Heights, Springfield, MO",OLD,"$55,000",2bd,1ba,844 sqft
5337 S Stonehaven Dr,"Springfield, MO",OLD,"$865,000",5bd,5ba,"6,608 sqft"
3599 S Lexus Ave,"Springfield, MO",NEWAUCTION,Contact For Price,3bd,3ba,"1,616 sqft"
2391 E Cardinal St,"Spring Creek, Springfield, MO",OLD,"$375,000",3bd,3ba,"1,958 sqft"
2400 W Twin Lakes Dr,"Springfield, MO",NEW CONSTRUCTIONQUICK MOVE-IN,"$224,995",4bd,1ba,"1,327 sqft"
3039 W Latoka St,"Sherwood, Springfield, MO",OLD,"$70,000",2bd,1ba,780 sqft
1006 N Prospect Ave,"Weller, Springfield, MO",OLD,"$72,500",2bd,3ba,828 sqft
Twin Lakes,"Springfield, MO",NEWNEW CONSTRUCTIONBUILDABLE PLAN,"$249,495+",4bd,1ba,"2,564 sqft"
2632 W Monroe St,"Westside, Springfield, MO",OLD,"$72,500",2bd,2ba,792 sqft
1455 W Gaslight Dr,"Springfield, MO",NEW CONSTRUCTIONQUICK MOVE-IN,"$335,924",4bd,1ba,"2,231 sqft"
451 S Laurel Ave,"Westside, Springfield, MO",OLD,"$114,990",3bd,1ba,"1,236 sqft"
1442 E North St,"Doling Park, Springfield, MO",FOR SALE BY OWNER,"$109,900",2bd,1ba,962 sqft
6117 S Maryland Ave,"Springfield, MO",OLD,"$489,000",4bd,4ba,"3,024 sqft"
4857 W Washita St #21,"Springfield, MO",OLD,"$275,000",4bd,2ba,"2,064 sqft"
1031 N Forest Ave,"Heart of the Westside, Springfield, MO",OLD,"$77,900",3bd,1ba,976 sqft
547 S Warren Ave,"Westside, Springfield, MO",FOR SALE BY OWNER,"$59,900",3bd,1ba,"1,100 sqft"
2033 E Norshire St,"Spring Creek, Springfield, MO",OLD,"$625,000",4bd,5ba,"5,662 sqft"
2376 W Twin Lakes Dr,"Springfield, MO",NEW CONSTRUCTIONQUICK MOVE-IN,"$263,680",4bd,3ba,"2,654 sqft"
535-601 N Hillcrest Ave,"Fairfield Acres/Bissett, Springfield, MO",OLD,"$185,000",6bd,2ba,"2,560 sqft"
2757&2801 W Norton St,"Springfield, MO",OLD,"$179,000",2bd,1ba,"1,800 sqft"
Twin Lakes,"Springfield, MO",NEWNEW CONSTRUCTIONBUILDABLE PLAN,"$248,495+",4bd,3ba,"1,550 sqft"
1612 N Grant Ave,"Grant Beach, Springfield, MO",OLD,"$55,000",1bd,1ba,"1,022 sqft"
715 S Thornridge Dr,"Springfield, MO",OLD,"$501,000",5bd,4ba,"3,642 sqft"
1633 E Central St,"Weller, Springfield, MO",OLD,"$87,000",2bd,1ba,988 sqft
2160 S Oak Grove Ave,"Southern Hills, Springfield, MO",OLD,"$219,000",3bd,3ba,"3,000 sqft"
1725 E Commercial St,"Weller, Springfield, MO",OLD,"$49,900",1bd,1ba,702 sqft
1937 S Lullwood Ave #38,"Springfield, MO",OLD,"$220,000",3bd,2ba,"1,560 sqft"
607 N Hillcrest Ave,"Fairfield Acres/Bissett, Springfield, MO",OLD,"$185,000",3bd,1ba,936 sqft
519 E Dale St,"Robberson, Springfield, MO",OLD,"$52,500",2bd,1ba,700 sqft
337 N Park Ave,"Westside, Springfield, MO",OLD,"$29,900",2bd,1ba,948 sqft
1217 N Davies Ave,"Heart of the Westside, Springfield, MO",OLD,"$35,000",2bd,1ba,804 sqft
1965 S Lullwood Ave #36,"Springfield, MO",OLD,"$240,000",3bd,2ba,"1,620 sqft"
4731 E Forest Trails Dr,"Springfield, MO",OLD,"$475,000",5bd,4ba,"2,900 sqft"
813 N Warren Ave,"Heart of the Westside, Springfield, MO",OLD,"$79,900",2bd,1ba,"1,062 sqft"
3721 N Sweet Water Ave,"Springfield, MO",NEW CONSTRUCTIONQUICK MOVE-IN,"$268,036",4bd,3ba,"2,654 sqft"
1747 N Bristol Ave,"Springfield, MO",NEW CONSTRUCTIONQUICK MOVE-IN,"$415,136",5bd,3ba,"3,514 sqft"
3887 E Eaglescliffe Dr,"Springfield, MO",OLD,"$1,095,000",5bd,5ba,"7,500 sqft"
4438 Gladys Ave,"Springfield, MO",OLD,"$265,000",3bd,2ba,"1,796 sqft"
3047 W Olive St,"Westside, Springfield, MO",OLD,"$62,500",2bd,1ba,776 sqft
1710 N Ozark Ave,"Midtown, Springfield, MO",OLD,"$675,000",3bd,2ba,"1,032 sqft"
645 W Webster St,"Grant Beach, Springfield, MO",OLD,"$69,500",2bd,1ba,"1,080 sqft"
1667 N Bristol Ave,"Springfield, MO",NEW CONSTRUCTIONQUICK MOVE-IN,"$415,045",5bd,3ba,"3,514 sqft"
The Lakes at Wild Horse,"Springfield, MO",NEW CONSTRUCTIONBUILDABLE PLAN,"$337,500+",4bd,3ba,"2,249 sqft"
4426 Gladys Ave,"Springfield, MO",OLD,"$265,000",3bd,2ba,"1,796 sqft"
2348 N Prospect Ave,"Robberson, Springfield, MO",OLD,"$75,000",3bd,2ba,"1,275 sqft"
5379 S Woodfield Ave,"Springfield, MO",FOR SALE BY OWNER,"$549,999",5bd,4ba,"4,813 sqft"
2542 W High St,"Tom Watkins, Springfield, MO",OLD,"$99,900",4bd,2ba,948 sqft
3579 W Camelot St,"Springfield, MO",OLD,"$247,900",3bd,2ba,"1,550 sqft"
4717 E Forest Trails Dr,"Springfield, MO",OLD,"$599,977",5bd,4ba,"4,100 sqft"
3647 E Prestwick Ct,"Springfield, MO",OLD,"$599,900",4bd,4ba,"4,155 sqft"
2055 E Walnut St,"Bingham, Springfield, MO",OLD,"$72,000",2bd,1ba,870 sqft
2111 E Cairo St,"Bingham, Springfield, MO",OLD,"$155,000",3bd,1ba,"1,442 sqft"
719 W Division St,"Grant Beach, Springfield, MO",OLD,"$67,500",3bd,1ba,"1,116 sqft"
4881 W Washita St #19,"Springfield, MO",OLD,"$250,000",4bd,2ba,"1,845 sqft"
Hickory Valley,"Springfield, MO",NEW CONSTRUCTIONBUILDABLE PLAN,"$389,495+",5bd,3ba,"3,514 sqft"
1110 W Madison St,"West Central, Springfield, MO",OLD,"$79,900",2bd,1ba,784 sqft
2113 N East Ave,"Robberson, Springfield, MO",OLD,"$49,900",2bd,1ba,835 sqft
2222 N Prospect Ave,"Robberson, Springfield, MO",OLD,"$79,900",2bd,1ba,960 sqft
1612 W Calhoun St,"Heart of the Westside, Springfield, MO",OLD,"$72,500",2bd,1ba,864 sqft
1359 S Mulberry Ave,"Springfield, MO",OLD,"$222,900",3bd,2ba,"1,515 sqft"
808 E Garfield St,"Robberson, Springfield, MO",OLD,"$60,000",3bd,1ba,"1,064 sqft"
3563 W Camelot St,"Springfield, MO",OLD,"$245,000",3bd,2ba,"1,550 sqft"
4246 E University St,"Springfield, MO",OLD,"$439,000",5bd,4ba,"4,455 sqft"
1951 S Lullwood Ave #37,"Springfield, MO",OLD,"$275,000",3bd,2ba,"2,000 sqft"
3571 W Camelot St,"Springfield, MO",OLD,"$245,000",3bd,2ba,"1,550 sqft"
2232 N Farmer Ave,"Tom Watkins, Springfield, MO",OLD,"$75,000",2bd,1ba,888 sqft
5564 W Pine St,"Westside, Springfield, MO",OLD,"$232,900",3bd,2ba,"1,515 sqft"
6053 S Maryland Ave,"Springfield, MO",OLD,"$450,000",4bd,3ba,"2,388 sqft"
The Lakes at Wild Horse,"Springfield, MO",NEW CONSTRUCTIONBUILDABLE PLAN,"$294,495+",4bd,2ba,"1,923 sqft"
1363 S Strasbourg Ave,"Springfield, MO",OLD,"$261,000",3bd,2ba,"1,640 sqft"
1909 S Shady Hill Ln,"Springfield, MO",OLD,"$849,000",4bd,3ba,"6,382 sqft"
902 E Garfield St,"Robberson, Springfield, MO",OLD,"$49,900",2bd,1ba,658 sqft
3526 E Farm Road Ln #127,"Springfield, MO",OLD,"$239,900",3bd,1ba,"1,853 sqft"
2536 N Rural Ave,"Springfield, MO",OLD,"$60,000",2bd,1ba,796 sqft
1505 W Hovey St,"Grant Beach, Springfield, MO",OLD,"$235,300",5bd,1ba,"1,404 sqft"
3555 W Camelot St,"Springfield, MO",OLD,"$245,000",3bd,2ba,"1,550 sqft"
5742 E Conservatory Pl,"Strafford, MO",OLD,"$254,900",3bd,2ba,"1,670 sqft"
2129 N Elizabeth Ave,"Tom Watkins, Springfield, MO",FOR SALE BY OWNER,"$65,000",1bd,1ba,576 sqft
Hickory Valley,"Springfield, MO",NEW CONSTRUCTIONBUILDABLE PLAN,"$290,495+",3bd,2ba,"1,852 sqft"
1351 S Mulberry Ave,"Springfield, MO",OLD,"$227,900",4bd,2ba,"1,691 sqft"
1343 S Mulberry Ave,"Springfield, MO",OLD,"$222,900",3bd,2ba,"1,515 sqft"
3841 S Queens Ct,"Kickapoo, Springfield, MO",OLD,"$179,900",3bd,2ba,"1,816 sqft"
4780 E Whitman Rd,"Springfield, MO",NEW CONSTRUCTIONQUICK MOVE-IN,"$304,678",4bd,2ba,"1,923 sqft"
1364 S Strasbourg Ave,"Young Lilly, Springfield, MO",OLD,"$265,000",4bd,2ba,"1,782 sqft"
2018 N Hoffman Ave,"Tom Watkins, Springfield, MO",OLD,"$34,900",2bd,1ba,872 sqft
3475 S Kickapoo Ave,"Bradford Park, Springfield, MO",OLD,"$160,000",3bd,2ba,"1,402 sqft"
3843 E Brookdale Ter,"Springfield, MO",OLD,"$369,900",2bd,3ba,"1,933 sqft"
4809 W Washita St #61,"Springfield, MO",OLD,"$245,000",4bd,2ba,"1,845 sqft"
2120 N Oakland Ave,"Tom Watkins, Springfield, MO",BANK OWNED,Contact For Price,3bd,1ba,988 sqft
5246 S Stirling Way,"Springfield, MO",OLD,"$699,900",4bd,4ba,"4,604 sqft"
1884 S Lullwood Ave #51,"Springfield, MO",OLD,"$220,000",3bd,2ba,"1,560 sqft"
3309 W Farm Road 148,"Ewing, Springfield, MO",NEWAUCTION,Contact For Price,3bd,2ba,"1,152 sqft"
2152 N Boardwalk Ave,"Strafford, MO",OLD,"$254,900",3bd,2ba,"1,670 sqft"
1348 S Strasbourg Ave,"Young Lilly, Springfield, MO",OLD,"$263,000",4bd,3ba,"1,701 sqft"
5469 S Southwood Rd,"Springfield, MO",OLD,"$299,900",5bd,1ba,"3,652 sqft"
715 W Division St,"Grant Beach, Springfield, MO",OLD,"$62,500",2bd,1ba,"1,470 sqft"
818 N Forest Ave,"Heart of the Westside, Springfield, MO",OLD,"$69,500",3bd,2ba,"1,284 sqft"
902 N Kansas Expy,"Grant Beach, Springfield, MO",OLD,"$69,500",3bd,2ba,800 sqft
2020 W Division St,"Heart of the Westside, Springfield, MO",OLD,"$49,900",2bd,1ba,792 sqft
4316 W Skyler Dr,"Springfield, MO",OLD,"$261,000",3bd,2ba,"1,640 sqft"
617 N North Brown Ave,"Westside, Springfield, MO",OLD,"$89,900",3bd,1ba,"1,092 sqft"
1950 S Shayla Ave #32,"Springfield, MO",OLD,"$280,000",3bd,2ba,"2,000 sqft"
Hickory Valley,"Springfield, MO",NEW CONSTRUCTIONBUILDABLE PLAN,"$281,495+",4bd,2ba,"1,923 sqft"
1344 S Canton Ave,"Springfield, MO",OLD,"$260,000",3bd,2ba,"1,633 sqft"
1327 N Park Ave,"Heart of the Westside, Springfield, MO",NEW,"$78,000",4bd,2ba,"1,136 sqft"
1451 N Texas Ave,"Midtown, Springfield, MO",NEW,"$55,000",2bd,1ba,784 sqft
1906 S Lancaster Ave,"Mark Twain, Springfield, MO",NEW,"$140,000",2bd,1ba,812 sqft
2006 E Lark St,"Spring Creek, Springfield, MO",NEW,"$269,900",5bd,4ba,"2,453 sqft"
3428 W Sexton St,"Springfield, MO",NEW,"$269,900",4bd,3ba,"2,320 sqft"
1938 S Lullwood Ave #75,"Springfield, MO",NEW,"$360,000",5bd,3ba,"3,750 sqft"
1912 S Lullwood Ave #73,"Springfield, MO",NEW,"$245,000",4bd,2ba,"1,845 sqft"
1950 S Lullwood Ave #76,"Springfield, MO",NEW,"$310,000",4bd,3ba,"3,200 sqft"
1926 S Lullwood Ave #74,"Springfield, MO",NEW,"$345,000",5bd,3ba,"3,470 sqft"
4821 W Washita St #60,"Springfield, MO",OLD,"$250,000",4bd,2ba,"1,845 sqft"
4833 W Washita St #59,"Springfield, MO",OLD,"$285,000",4bd,2ba,"2,158 sqft"
4882 W Camelot St #3,"Springfield, MO",OLD,"$260,000",4bd,2ba,"1,845 sqft"
5620 W Ruben Ln,"Springfield, MO",FOR SALE BY OWNER,"$699,900",5bd,4ba,"4,830 sqft"
1671 E 562nd Rd,"Brighton, MO",FOR SALE BY OWNER,"$69,000",4bd,2ba,"1,968 sqft"
804 E Gasconade St,"Nixa, MO",NEWFOR SALE BY OWNER,"$249,000",3bd,2ba,"1,871 sqft"
1217 State Road Aa,"Fair Grove, MO",NEW,"$208,000",4bd,3ba,"1,500 sqft"
7992 N Quiet Oaks Ln,"Willard, MO",NEW,"$324,900",4bd,3ba,"1,958 sqft"
2221 E Logan St,"Republic, MO",OLD,"$230,000",4bd,3ba,"2,337 sqft"
850 E Edenmore Cir,"Nixa, MO",NEW,"$489,500",5bd,4ba,"3,400 sqft"
529 S Sentry Dr,"Rogersville, MO",NEW,"$235,000",4bd,2ba,"1,810 sqft"
876 W Cambridge Ave,"Nixa, MO",NEW,"$179,900",3bd,2ba,"1,653 sqft"
6004 Merion Dr,"Nixa, MO",NEW,"$799,900",5bd,4ba,"4,373 sqft"
321 McKnight,"Clever, MO",NEW,"$139,900",3bd,2ba,"1,343 sqft"
311 E Bumgarner Blvd,"Strafford, MO",OLD,"$135,000",3bd,2ba,"1,308 sqft"
1337 S Marseilles Ave,"Republic, MO",OLD,"$182,000",3bd,2ba,"1,385 sqft"
306 N Cedarwood Ave,"Republic, MO",OLD,"$255,000",4bd,3ba,"2,578 sqft"
4552 N Longfellow Dr,"Ozark, MO",OLD,"$189,900",3bd,2ba,"1,256 sqft"
5476 S Daniel St,"Brookline, MO",OLD,"$145,000",4bd,2ba,"2,100 sqft"
201 S Delaware St,"Nixa, MO",NEW,"$99,900",2bd,1ba,"1,140 sqft"
403 Hightower Ave,"Nixa, MO",NEW,"$199,900",3bd,2ba,"1,613 sqft"
510 N Main St,"Nixa, MO",OLD,"$199,900",3bd,2ba,"1,710 sqft"
8854 N Farm Rd #149,"Pleasant Hope, MO",OLD,"$229,900",3bd,2ba,"2,280 sqft"
712 S Peach Brk,"Nixa, MO",NEWFOR SALE BY OWNER,"$424,500",5bd,3ba,"4,300 sqft"
971 E Daisy Falls Dr,"Nixa, MO",NEW,"$219,900",3bd,2ba,"1,622 sqft"
10620 N Richland Rd,"Brighton, MO",OLD,"$305,000",3bd,2ba,"2,412 sqft"
3095 Liberty Rd,"Rogersville, MO",OLD,"$180,000",2bd,3ba,"1,694 sqft"
1231 N Nicholas Rd,"Nixa, MO",OLD,"$239,900",3bd,2ba,"2,348 sqft"
2914 W Eagle Ln,"Brighton, MO",OLD,"$337,900",3bd,2ba,"2,377 sqft"
91 W Cherry St,"Fair Grove, MO",OLD,"$215,000",2bd,2ba,"1,420 sqft"
851 E Grafton Dr,"Nixa, MO",OLD,"$427,500",4bd,3ba,"3,839 sqft"
5715 S Eldon Ave,"Brookline, MO",OLD,"$324,900",4bd,3ba,"3,180 sqft"
624 W Livingston St,"Nixa, MO",OLD,"$174,900",4bd,2ba,"1,574 sqft"
1502 E Hayloft Dr,"Ozark, MO",NEW,"$280,000",4bd,2ba,"1,950 sqft"
5337 NE Northgate Xing,"Lees Summit, MO",OLD,"$520,000",4bd,5ba,"5,358 sqft"
708 NE Darwin St,"Lees Summit, MO",OLD,"$239,900",4bd,3ba,"1,952 sqft"
1240 SW Crossing Dr,"Lees Summit, MO",NEW,"$349,900",4bd,3ba,"2,261 sqft"
709 SW Wintergarden Dr,"Lees Summit, MO",NEW,"$445,000",4bd,4ba,"3,619 sqft"
3636 SW Crane Rd,"Lees Summit, MO",OLD,"$230,000",4bd,3ba,"2,664 sqft"
1205 SW Neelie Ln,"Lees Summit, MO","NEWOPEN SAT, 12-3PM","$452,900",4bd,3ba,"2,800 sqft"
611 NE Burning Tree St,"Lees Summit, MO",OLD,"$314,900",3bd,3ba,"2,747 sqft"
1512 NE Ivory Ln,"Lees Summit, MO",FOR SALE BY OWNER,"$262,500",4bd,4ba,"2,666 sqft"
513 NE Wenonga Pl,"Lees Summit, MO",OLD,"$420,000",4bd,3ba,"3,294 sqft"
716 SE James Cir,"Lees Summit, MO",OLD,"$249,900",3bd,3ba,"2,620 sqft"
817 SE 10th Ter,"Lees Summit, MO",NEWFOR SALE BY OWNER,"$229,000",3bd,2ba,"1,759 sqft"
1213 NE Ball Dr,"Lees Summit, MO",OLD,"$240,000",3bd,2ba,"1,346 sqft"
410 SW Highland St,"Lees Summit, MO",OLD,"$152,000",3bd,1ba,864 sqft
1245 NE Goshen Dr,"Lees Summit, MO",NEW,"$527,900",5bd,5ba,"2,975 sqft"
4101 SW Duck Pond Dr,"Lees Summit, MO",OLD,"$479,900",5bd,5ba,"3,820 sqft"
901 SW Trailridge Dr,"Lees Summit, MO",OLD,"$769,000",4bd,5ba,"6,300 sqft"
4017 NE Woodridge Dr,"Lees Summit, MO",OLD,"$349,000",4bd,3ba,"3,308 sqft"
2338 SW Old Port Rd,"Lees Summit, MO",OLD,"$369,990",4bd,3ba,"1,947 sqft"
3627 SW Crane Rd,"Lees Summit, MO",OLD,"$167,000",3bd,1ba,"1,152 sqft"
500 NE Ash St,"Lees Summit, MO",NEW,"$219,900",3bd,3ba,"1,758 sqft"
3632 NE Basswood Dr,"Lees Summit, MO",OLD,"$449,000",4bd,4ba,"3,399 sqft"
4063 SW Royale Ct,"Lees Summit, MO",OLD,"$300,000",4bd,5ba,"3,183 sqft"
2323 NE Smokey Hill Dr,"Lees Summit, MO",OLD,"$455,000",4bd,4ba,"4,556 sqft"
1104 NE Goshen Dr,"Lees Summit, MO",NEW,"$546,000",4bd,3ba,"2,770 sqft"
1236 SW Crossing Dr,"Lees Summit, MO",OLD,"$330,000",4bd,3ba,"3,122 sqft"
1000 NE Banner St,"Lees Summit, MO",OLD,"$316,950",3bd,3ba,"2,707 sqft"
2355 NE Lake Breeze Point,"Lees Summit, MO",FOR SALE BY OWNER,"$2,195,000",5bd,6ba,"6,823 sqft"
1033 SW Crossing Dr,"Lees Summit, MO",OLD,"$315,000",2bd,3ba,"2,277 sqft"
138 NE Wood Glen Ln,"Lees Summit, MO",OLD,"$450,000",5bd,4ba,"4,551 sqft"
2528 SW Hickory Ln,"Lees Summit, MO",NEW CONSTRUCTIONQUICK MOVE-IN,"$444,800",4bd,3ba,"3,050 sqft"
1637 NE Woodland Shores Dr,"Lees Summit, MO",OLD,"$539,000",5bd,5ba,"4,304 sqft"
951 NW High Point Dr,"Lees Summit, MO",OLD,"$389,000",3bd,4ba,"3,775 sqft"
300 NE Dartmore Ct,"Lees Summit, MO",OLD,"$520,000",3bd,3ba,"2,705 sqft"
400 SW Hoke Ln,"Lees Summit, MO",OLD,"$410,000",3bd,4ba,"4,375 sqft"
179 SW Roosevelt Rdg,"Lees Summit, MO",OLD,"$630,000",5bd,5ba,"4,988 sqft"
1552 NE Woodland Shores Way,"Lees Summit, MO",OLD,"$585,000",5bd,5ba,"4,876 sqft"
404 NW Cottonwood Dr,"Lees Summit, MO",FOR SALE BY OWNER,"$359,000",5bd,4ba,"2,890 sqft"
508 NE Legacy View Dr,"Lees Summit, MO",NEWFOR SALE BY OWNER,"$449,000",4bd,4ba,"2,694 sqft"
2342 SW Old Port Rd,"Lees Summit, MO",OLD,"$389,900",4bd,4ba,"2,315 sqft"
116 SE Water Garden Ct,"Lees Summit, MO",OLD,"$324,950",3bd,3ba,"2,282 sqft"
4113 NE Edmonson Cir,"Lees Summit, MO",OLD,"$500,000",5bd,5ba,"3,389 sqft"
1610 SW Blackstone Pl,"Lees Summit, MO","OPEN SUN, 12-4PM","$434,000",4bd,3ba,"2,745 sqft"
1800 SW Fountain Dr,"Lees Summit, MO",OLD,"$775,000",4bd,5ba,"6,509 sqft"
4147 SE Paddock Dr,"Lees Summit, MO",OLD,"$695,000",5bd,4ba,"5,254 sqft"
604 NE Dick Howser Ct,"Lees Summit, MO",OLD,"$470,999",4bd,4ba,"3,250 sqft"
4300 NE Courtney Dr,"Lees Summit, MO",OLD,"$574,500",4bd,3ba,"4,522 sqft"
1805 SW River Run Dr,"Lees Summit, MO","OPEN THU, 12-5PM","$549,900",4bd,3ba,"2,943 sqft"
4134 SW Minnesota Dr,"Lees Summit, MO",OLD,"$258,000",2bd,2ba,"1,220 sqft"
605 NE Shoreline Dr,"Lees Summit, MO",OLD,"$1,345,000",5bd,6ba,"7,000 sqft"
