,region,new,price,bedrm,bth,sqft,crime,typ_val,val_pct,typ_sqft,sqft_pct,eschl,mschl,hschl,bsmnt,gas,forsdair,elctric,solar,dayonmark,yrbuilt,update,stories,n_rooms,garage,pp_sqft,roof,floors,exterior,lot_sz,prk_spc,parking,hoa_fee,sec_sys,pool,list_cnt,assess
1039 Westover Rd,Kansas City,0,2500000.0,5,7,7604,1,478911.0,422.0,226.0,45.0,2,1,1,1,0,1,0,0,180.0,1980.0,0,1,12,1,329.0,1,6,6,7604.0,3.0,3,17,1,0,2,0
104 Van Brunt Blvd,Kansas City,0,275000.0,6,3,3538,4,84972.0,224.0,72.0,8.0,1,1,1,1,1,1,0,0,60.0,1916.0,0,3,9,1,78.0,1,0,3,4356.0,1.0,3,0,0,0,2,0
10408 N Helena Ave,Kansas City,0,500000.0,4,5,4564,1,311861.0,60.0,166.0,-34.0,0,0,1,1,1,0,0,0,47.0,2002.0,1,2,13,1,110.0,3,6,6,4564.0,3.0,3,103,1,0,18,0
1041 W 71st Ter,Kansas City,0,599000.0,3,3,2454,1,227344.0,163.0,167.0,46.0,2,1,1,1,1,1,0,0,133.0,1927.0,0,2,11,1,244.0,1,7,5,8712.0,2.0,3,0,0,0,5,0
10416 N Donnelly Ave,Kansas City,0,399900.0,4,3,2500,1,306678.0,30.0,220.0,-27.0,1,1,1,0,1,0,0,0,119.0,2020.0,0,1,7,1,160.0,1,0,8,2500.0,3.0,3,25,0,0,1,0
10416 N Donnelly Ave,Kansas City,0,399900.0,4,3,2500,1,306678.0,30.0,220.0,-27.0,1,1,1,0,1,0,0,0,119.0,2020.0,0,1,7,1,160.0,1,0,0,2500.0,3.0,3,25,0,0,1,0
10427 N Saint Clair Ave,Kansas City,0,929900.0,4,4,3977,1,311861.0,198.0,166.0,41.0,0,0,1,0,0,0,0,0,180.0,2001.0,0,1,8,1,234.0,5,6,6,3977.0,3.0,3,104,0,0,1,0
10430 NW River View Pt,Kansas City,0,1250000.0,5,6,7248,1,288959.0,333.0,157.0,10.0,1,2,1,0,1,0,0,0,180.0,2006.0,0,1,11,1,172.0,1,0,5,7248.0,3.0,3,54,0,1,8,0
10444 Prince Dr,Saint Louis,0,24900.0,3,2,1023,3,47819.0,-48.0,46.0,-47.0,0,0,1,0,1,1,0,0,180.0,1967.0,0,1,6,0,24.0,1,2,0,6490.0,2.2,0,0,0,1,7,1
10480 Chateau Ln,Kansas City,0,634950.0,4,6,4912,1,288959.0,120.0,157.0,-18.0,1,2,1,1,1,0,0,0,70.0,2015.0,0,1,10,1,129.0,1,2,5,4912.0,3.0,3,119,0,0,1,0
105 E Hubbell Dr,Columbia,0,199900.0,5,2,2080,3,201679.0,-1.0,119.0,-19.0,1,1,1,0,1,1,0,0,48.0,1930.0,0,2,6,0,96.0,1,4,0,5000.0,2.2,0,0,0,0,3,0
105 Lake Forest Dr,Saint Louis,0,2000000.0,6,4,5200,1,299165.0,569.0,198.0,94.0,1,1,1,1,1,1,0,0,74.0,1963.0,1,2,12,1,385.0,5,2,5,5200.0,2.0,3,118,1,0,2,0
1050 E Turner St,Springfield,1,90000.0,2,1,680,2,117917.0,-24.0,93.0,42.0,1,1,1,0,0,0,0,0,6.0,1926.0,0,1,4,1,132.0,1,0,5,5662.0,2.2,3,0,0,0,1,0
1050 NW South Shore Dr,Kansas City,0,284500.0,5,2,1768,1,248362.0,15.0,147.0,9.0,1,2,1,1,1,1,0,0,178.0,1961.0,1,2,11,1,161.0,1,2,5,6250.0,1.0,3,50,0,0,13,0
10501 Earl Dr,Saint Louis,0,12990.0,2,1,770,1,47819.0,-73.0,46.0,-63.0,0,0,1,0,1,1,0,0,180.0,1955.0,0,1,4,0,17.0,1,7,4,6490.0,2.2,0,0,0,0,2,1
10504 Holmes Rd,Kansas City,1,160000.0,5,2,1536,1,186241.0,-14.0,141.0,-26.0,1,1,1,1,1,1,0,0,1.0,1953.0,0,1,7,0,104.0,1,0,8,1536.0,2.0,0,0,0,0,3,0
10504 Holmes Rd,Kansas City,1,160000.0,5,2,1536,1,186241.0,-14.0,141.0,-26.0,1,1,1,1,1,1,0,0,3.0,1953.0,0,1,7,0,104.0,1,0,8,1536.0,2.0,0,0,0,0,3,0
10515 Renfrew Dr,Saint Louis,0,60000.0,3,2,854,1,62719.0,-4.0,64.0,10.0,0,0,1,0,1,1,0,0,52.0,1953.0,0,1,6,0,70.0,1,2,7,6394.0,2.2,0,0,0,0,1,0
10517 N Flora Ave,Kansas City,0,389950.0,4,4,2444,1,243914.0,60.0,146.0,9.0,1,1,1,0,0,0,0,0,8.0,2020.0,0,2,8,1,160.0,1,7,6,2444.0,3.0,3,34,0,0,1,0
10525 N Shelby Ave,Kansas City,0,465000.0,5,4,2823,1,311861.0,49.0,166.0,-1.0,0,0,1,0,1,0,0,0,114.0,2020.0,0,2,9,1,165.0,1,6,8,2823.0,3.0,3,0,1,0,1,0
10525 N Shelby Ave,Kansas City,0,465000.0,5,4,2823,1,311861.0,49.0,166.0,-1.0,0,0,1,0,1,0,0,0,116.0,2020.0,0,2,9,1,165.0,1,6,8,2823.0,3.0,3,0,1,0,1,0
