distro,Feature,Release Date,End Of Life,Price (US$),Image Size (MB),Free Download,Installation,Default Desktop,Package Management,Release Model,Office Suite,Processor Architecture,Init Software,Journaled File Systems,Multilingual
ubuntu,6.06 LTSdapper,2006-06-01,,Free,,ISO,Graphical,GNOME,DEB,Fixed,OO.o,"amd64, i386, powerpc, sparc",SysV,"ext3, JFS, ReiserFS, XFS",Yes
ubuntu,5.10breezy,2005-10-13,,Free,,ISO,Text mode,GNOME,DEB,Fixed,OO.o,"amd64, i386, powerpc",SysV,"ext3, JFS, ReiserFS, XFS",Yes
ubuntu,5.04hoary,2005-04-08,,Free,,ISO,Text mode,GNOME,DEB,Fixed,OO.o,"amd64, i386, powerpc",SysV,"ext3, JFS, ReiserFS, XFS",Yes
ubuntu,4.10warty,2004-10-20,,Free,,ISO,Text mode,GNOME,DEB,Fixed,OO.o,"amd64, i386, powerpc",SysV,"ext3, JFS, ReiserFS, XFS",Yes
ubuntu,Feature,Release Date,End Of Life,Price (US$),Image Size (MB),Free Download,Installation,Default Desktop,Package Management,Release Model,Office Suite,Processor Architecture,Init Software,Journaled File Systems,Multilingual
debian,unstablesid,2020-12-12,,Free,,ISO,Graphical,GNOME,DEB,Rolling,"Calligra, GOffice, LibreOffice","amd64, aarch64, armel, armhf, i386, mips, mipsel, mips64el, ppc64el, s390x",systemd,"Btrfs, ext3, ext4, JFS, ReiserFS, XFS",Yes
debian,testingbullseye,2020-12-12,,Free,,ISO,Graphical,GNOME,DEB,Semi,"Calligra, GOffice, LibreOffice","amd64, aarch64, armel, armhf, i386, mips, mipsel, mips64el, ppc64el, s390x",systemd,"Btrfs, ext3, ext4, JFS, ReiserFS, XFS",Yes
debian,10buster,2019-07-06,,Free,300-3700,ISO,Graphical,GNOME,DEB,Fixed,"Calligra, GOffice, LibreOffice","amd64, aarch64, armel, armhf, i386, mips, mipsel, mips64el, ppc64el, s390x",systemd,"Btrfs, ext3, ext4, JFS, ReiserFS, XFS",Yes
debian,9stretch,2017-06-18,,Free,300-3700,ISO,Graphical,GNOME,DEB,Fixed,"Calligra, GOffice, LibreOffice","amd64, arm64, armel, armhf, i386, mips, mips64el, ppc64el, s390x",systemd,"Btrfs, ext3, ext4, JFS, ReiserFS, XFS",Yes
debian,8.0jessie,2015-04-26,2020-07,Free,,ISO,Graphical,GNOME,DEB,Fixed,"Calligra, GOffice, KOffice, LibreOffice","amd64, arm64, armel, armhf, i386, mips, mipsel, powerpc, ppc64el, s390x",systemd,"Btrfs, ext3, ext4, JFS, ReiserFS, XFS",Yes
debian,7.0wheezy,2013-05-04,2018-05,Free,,ISO,Graphical,GNOME,DEB,Fixed,"Calligra, GOffice, KOffice, LibreOffice","amd64, armel, i386, ia64, mips, mipsel, powerpc, s390x, sparc",SysV,"Btrfs, ext3, ext4, JFS, ReiserFS, XFS",Yes
debian,6.0squeeze,2011-02-06,2016-02,Free,,ISO,Graphical,GNOME,DEB,Fixed,"GOffice, KOffice, OO.o","amd64, armel, i386, ia64, mips, mipsel, powerpc, s390, sparc",SysV,"ext3, ext4, JFS, ReiserFS, XFS",Yes
debian,5.0lenny,2009-02-15,,Free,,ISO,Graphical,GNOME,DEB,Fixed,"GOffice, KOffice, OO.o","amd64, alpha, arm, armel, hppa, i386, ia64, mips, mipsel, powerpc, s390, sparc",SysV,"ext3, JFS, ReiserFS, XFS",Yes
debian,4.0etch,2007-04-08,,Free,,ISO,Graphical,GNOME,DEB,Fixed,"GOffice, KOffice, OO.o","amd64, alpha, arm, hppa, i386, ia64, m68k, mips, mipsel, powerpc, s390, sparc",SysV,"ext3, JFS, ReiserFS, XFS",Yes
debian,3.1sarge,2005-06-06,,Free,,ISO,Text mode,GNOME,DEB,Fixed,"GOffice, KOffice, OO.o","alpha, arm, hppa, i386, ia64, m68k, mips, powerpc, s390, sparc",SysV,"ext3, JFS, ReiserFS, XFS",Yes
debian,3.0woody,2002-07-19,,Free,,ISO,Text mode,GNOME,DEB,Fixed,KOffice,"alpha, arm, hppa, i386, ia64, m68k, mips, powerpc, s390, sparc",SysV,"ext3, ReiserFS",Yes
debian,2.2potato,2000-08-15,,Free,,ISO,Text mode,GNOME,DEB,Fixed,--,,SysV,,Yes
debian,2.1slink,1999-03-09,,Free,,ISO,Text mode,GNOME,DEB,Fixed,--,,SysV,,Yes
debian,2.0hamm,1998-07-23,,Free,,ISO,Text mode,,DEB,Fixed,--,,Upstart,,Yes
debian,1.3bo,1997-06-05,,Free,,ISO,Text mode,,DEB,Fixed,--,,SysV,,Yes
debian,1.2rex,1996-12-12,,Free,,ISO,Text mode,,DEB,Fixed,--,,SysV,,Yes
debian,1.1buzz,1996-06-17,,Free,,ISO,Text mode,,DEB,Fixed,--,,SysV,,Yes
debian,Feature,Release Date,End Of Life,Price (US$),Image Size (MB),Free Download,Installation,Default Desktop,Package Management,Release Model,Office Suite,Processor Architecture,Init Software,Journaled File Systems,Multilingual
elementary,5.1.7hera,2020-08-14,,Free,1400-1500,ISO,Graphical,Pantheon,DEB,Fixed,--,x86_64,systemd,"Btrfs, ext3, ext4, JFS, ReiserFS, XFS",Yes
elementary,5.0juno,2018-10-16,,Free,1400-1500,ISO,Graphical,Pantheon,DEB,Fixed,--,x86_64,systemd,"Btrfs, ext3, ext4, JFS, ReiserFS, XFS",Yes
elementary,0.4.1loki,2017-05-17,,Free,1000-1100,ISO,Graphical,Pantheon,DEB,Fixed,--,x86_64,systemd,"Btrfs, ext3, ext4, JFS, ReiserFS, XFS",
elementary,0.3.2freya,2015-12-09,,Free,,ISO,Graphical,Pantheon,DEB,Fixed,--,"i386, x86_64",Upstart,"Btrfs, ext3, ext4, JFS, ReiserFS, XFS",
elementary,0.2luna,2013-08-11,,Free,,ISO,Graphical,Pantheon,DEB,Fixed,--,"i386, x86_64",Upstart,"Btrfs, ext3, ext4, JFS, ReiserFS, XFS",
elementary,0.1jupiter,2011-04-01,,Free,,ISO,Graphical,GNOME,DEB,Fixed,GOffice,i386,Upstart,"Btrfs, ext3, ext4, JFS, ReiserFS, XFS",
fedora,rawhide,2020-12-12,,Free,,ISO,Graphical,GNOME,RPM (dnf),Rolling,"Calligra, GOffice, LibreOffice","aarch64, armhfp, x86_64",systemd,"Btrfs, ext3, ext4, XFS",Yes
fedora,33,2020-10-27,,Free,,ISO,Graphical,GNOME,RPM (dnf),Fixed,LibreOffice,"aarch64, armhfp, x86_64",systemd,"Btrfs, ext3, ext4, XFS",Yes
fedora,32,2020-04-28,,Free,500-2000,ISO,Graphical,GNOME,RPM (dnf),Fixed,LibreOffice,"aarch64, armhfp, x86_64",systemd,"Btrfs, ext3, ext4, XFS",Yes
fedora,31,2019-10-29,2020-11,Free,500-1900,ISO,Graphical,GNOME,RPM (dnf),Fixed,LibreOffice,"armhfp, x86_64",systemd,"Btrfs, ext3, ext4, XFS",Yes
fedora,30,2019-04-30,2020-05,Free,500-1900,ISO,Graphical,GNOME,RPM (dnf),Fixed,LibreOffice,"armhfp, x86_64",systemd,"Btrfs, ext3, ext4, XFS",Yes
fedora,29,2018-10-30,2019-11,Free,500-1900,ISO,Graphical,GNOME,RPM (dnf),Fixed,LibreOffice,"armhfp, x86_64",systemd,"Btrfs, ext3, ext4, XFS",Yes
fedora,28,2018-05-01,2019-05,Free,500-1900,ISO,Graphical,GNOME,RPM (dnf),Fixed,LibreOffice,"armhfp, x86_64",systemd,"Btrfs, ext3, ext4, XFS",Yes
fedora,27,2017-11-14,2018-12,Free,500-2400,ISO,Graphical,GNOME,RPM (dnf),Fixed,LibreOffice,"armhfp, x86_64",systemd,"Btrfs, ext3, ext4, XFS",Yes
fedora,26,2017-07-11,2018-06,Free,500-2300,ISO,Graphical,GNOME,RPM (dnf),Fixed,LibreOffice,"armhfp, x86_64",systemd,"Btrfs, ext3, ext4, XFS",Yes
fedora,25,2016-11-22,2017-12,Free,,ISO,Graphical,GNOME,RPM (dnf),Fixed,LibreOffice,"armhfp, i686, x86_64",systemd,"Btrfs, ext3, ext4, XFS",Yes
fedora,24,2016-06-21,2017-08,Free,,ISO,Graphical,GNOME,RPM (dnf),Fixed,LibreOffice,"armhfp, i686, x86_64",systemd,"Btrfs, ext3, ext4, XFS",Yes
fedora,23,2015-11-03,2016-12,Free,,ISO,Graphical,GNOME,RPM (dnf),Fixed,LibreOffice,"armhfp, i686, x86_64",systemd,"Btrfs, ext3, ext4, XFS",Yes
fedora,22,2015-05-26,2016-07,Free,,ISO,Graphical,GNOME,RPM (dnf),Fixed,LibreOffice,"armhfp, i686, x86_64",systemd,"Btrfs, ext3, ext4, XFS",Yes
fedora,21,2014-12-09,2015-12,Free,,ISO,Graphical,GNOME,RPM (yum),Fixed,LibreOffice,"armhfp, i686, x86_64",systemd,"Btrfs, ext3, ext4, XFS",Yes
fedora,20heisenbug,2013-12-17,2015-06,Free,,ISO,Graphical,GNOME,RPM (yum),Fixed,"Calligra, GOffice, LibreOffice","armhfp, i686, x86_64",systemd,"Btrfs, ext3, ext4, XFS",Yes
fedora,19schrodingers,2013-07-02,2015-01,Free,,ISO,Graphical,GNOME,RPM (yum),Fixed,"Calligra, GOffice, LibreOffice","i686, ppc, ppc64, s390x, x86_64",systemd,"Btrfs, ext3, ext4, XFS",Yes
fedora,18spherical,2013-01-15,,Free,,ISO,Graphical,GNOME,RPM (yum),Fixed,"Calligra, GOffice, LibreOffice","arm, i686, ppc, ppc64, s390x, x86_64",systemd,"Btrfs, ext3, ext4, XFS",Yes
fedora,17beefy,2012-05-29,,Free,,ISO,Graphical,GNOME,RPM (yum),Fixed,"GOffice, LibreOffice","arm, i686, powerpc, s390x, ppc64, x86_64",Upstart,"ext3, ext4, XFS",Yes
fedora,16verne,2011-11-08,,Free,,ISO,Graphical,GNOME,RPM (yum),Fixed,LibreOffice,"i686, x86_64",Upstart,"ext3, ext4, XFS",Yes
fedora,15lovelock,2011-05-24,,Free,,ISO,Graphical,GNOME,RPM (yum),Fixed,LibreOffice,"i686, x86_64",Upstart,"ext3, ext4, XFS",Yes
fedora,14laughlin,2010-11-02,,Free,,ISO,Graphical,GNOME,RPM (yum),Fixed,OO.o,"i686, x86_64",Upstart,"ext3, ext4, XFS",Yes
