Used 2020 Ford Escape 4WD Titanium,"30,977",Multiple Owners,No Accident / Damage Reported,GREAT,"3,508",All wheel drive,4-Cylinder Turbo,8-Speed Automatic,Gasoline,23 City / 31 Highway,Star White Metallic Tri-Coat,Sandstone
Used 2018 Ford F150 XLT,"30,977",Multiple Owners,No Accident / Damage Reported,GREAT,"15,009",2 wheel drive - rear,8-Cylinder,10-Speed Automatic,Flexible Fuel,20 City / 25 Highway,Race Red,Medium Earth Gray
Certified 2018 Ford F150 XLT,"33,995",One Owner,No Accident / Damage Reported,GREAT,"17,706",4 wheel drive,6-Cylinder Turbo,10-Speed Automatic,Gasoline,"6'6""",18 City / 23 Highway,Magnetic Metallic
Certified 2018 Ford F150 XLT,"33,995",One Owner,No Accident / Damage Reported,GREAT,"17,706",4 wheel drive,6-Cylinder Turbo,10-Speed Automatic,Gasoline,"6'6""",18 City / 23 Highway,Magnetic Metallic
Certified 2020 Ford Ranger XLT,"34,316",One Owner,No Accident / Damage Reported,GREAT,"4,725",4 wheel drive,4-Cylinder Turbo,10-Speed Automatic,Gasoline,5',20 City / 24 Highway,Iconic Silver Metallic
Certified 2018 Ford F150 XL,"34,914",One Owner,No Accident / Damage Reported,GREAT,"13,056",4 wheel drive,6-Cylinder Turbo,10-Speed Automatic,Gasoline,"5'6""",18 City / 23 Highway,Magnetic Metallic
Certified 2018 Ford F150 XL,"34,914",One Owner,No Accident / Damage Reported,GREAT,"13,056",4 wheel drive,6-Cylinder Turbo,10-Speed Automatic,Gasoline,"5'6""",18 City / 23 Highway,Magnetic Metallic
Used 2019 Dodge Grand Caravan SXT,"16,987",One Owner,No Accident / Damage Reported,GREAT,"36,950",2 wheel drive - front,6-Cylinder,6-Speed Automatic,Flexible Fuel,17 City / 25 Highway,Brilliant Black Crystal Pearlcoat,Black
Certified 2018 Ford F150 XLT,"36,994",One Owner,No Accident / Damage Reported,GREAT,"8,195",4 wheel drive,6-Cylinder Turbo,10-Speed Automatic,Gasoline,"5'6""",18 City / 23 Highway,Race Red
Used 2019 Ford F150 XL,"37,614",One Owner,No Accident / Damage Reported,GREAT,"9,481",4 wheel drive,8-Cylinder,10-Speed Automatic,Flexible Fuel,18 City / 23 Highway,Ingot Silver Metallic,Black
Used 2020 Ford Explorer 4WD XLT,"38,944",One Owner,No Accident / Damage Reported,GREAT,"4,871",4 wheel drive,4-Cylinder Turbo,10-Speed Automatic,Gasoline,20 City / 27 Highway,Rich Copper Metallic Tinted Clearcoat,Ebony
Used 2020 Ford Explorer 4WD XLT,"38,977",One Owner,No Accident / Damage Reported,GREAT,"6,438",4 wheel drive,4-Cylinder Turbo,10-Speed Automatic,Gasoline,20 City / 27 Highway,Agate Black Metallic,Sandstone
Used 2019 Ford F150 XLT,"39,798",One Owner,No Accident / Damage Reported,GREAT,"2,677",4 wheel drive,6-Cylinder Turbo,10-Speed Automatic,Gasoline,"5'6""",18 City / 23 Highway,Oxford White
Certified 2019 Ford F150 XLT,"39,995",One Owner,No Accident / Damage Reported,GREAT,"9,943",4 wheel drive,6-Cylinder Turbo,10-Speed Automatic,Gasoline,18 City / 23 Highway,Ingot Silver Metallic,Black
Certified 2019 Ford F150 XLT,"39,995",One Owner,No Accident / Damage Reported,GREAT,"9,943",4 wheel drive,6-Cylinder Turbo,10-Speed Automatic,Gasoline,18 City / 23 Highway,Ingot Silver Metallic,Black
