,title,price,owner,accident,price_rating,mileage,drive_type,engine,transmission,fuel_type,mpg,exterior,interior
297,Used 2016 Ford Edge AWD SEL,"16,995",Multiple Owners,No Accident / Damage Reported,GOOD,"88,122",All wheel drive,4-Cylinder Turbo,6-Speed Automatic,Gasoline,20 City / 28 Highway,Kona Blue Metallic,Dune W/Leather-Trimmed Heated 
298,Used 2013 Ford F150 STX,"22,990",One Owner,No Accident / Damage Reported,GOOD,"61,843",4 wheel drive,8-Cylinder,6-Speed Automatic,Flexible Fuel,"6'6""",16 City / 21 Highway,Gray
299,Used 2016 MAZDA MX-5 Miata Grand Touring,"22,990",One Owner,No Accident / Damage Reported,GREAT,"8,056",2 wheel drive - rear,4-Cylinder,6-Speed Manual,Gasoline,27 City / 34 Highway,Black,Black
300,Used 2014 Dodge Challenger R/T,"23,990",One Owner,No Accident / Damage Reported,GREAT,"23,020",2 wheel drive - rear,8-Cylinder,6-Speed Manual,Gasoline,15 City / 23 Highway,Red,Black
301,Used 2017 Chevrolet Silverado 1500 LS,"23,990",One Owner,No Accident / Damage Reported,GREAT,"19,140",2 wheel drive - rear,8-Cylinder,6-Speed Automatic,Gasoline,8',16 City / 23 Highway,White
302,Used 2014 Dodge Challenger R/T w/ R/T Redline Group,"23,990",One Owner,No Accident / Damage Reported,GOOD,"42,347",2 wheel drive - rear,8-Cylinder,5-Speed Automatic,Gasoline,15 City / 24 Highway,Black,Black
303,Used 2016 Ford F150 XLT,"23,990",One Owner,No Accident / Damage Reported,GOOD,"2,713",2 wheel drive - rear,6-Cylinder,6-Speed Automatic,Flexible Fuel,8',18 City / 24 Highway,White
304,Used 2014 Ford Mustang GT Premium,"23,990",Multiple Owners,No Accident / Damage Reported,GREAT,"55,558",2 wheel drive - rear,8-Cylinder,6-Speed Manual,Gasoline,16 City / 25 Highway,Black,Black
305,Used 2017 MAZDA MX-5 Miata Grand Touring,"24,990",Multiple Owners,No Accident / Damage Reported,GREAT,"4,887",2 wheel drive - rear,4-Cylinder,6-Speed Manual,Gasoline,26 City / 33 Highway,White,Black
306,Used 2019 Ford Ranger 2WD SuperCrew,"27,990",One Owner,No Accident / Damage Reported,GREAT,"4,919",2 wheel drive - rear,4-Cylinder Turbo,10-Speed Automatic,Gasoline,5',21 City / 26 Highway,Gray
307,Used 2017 RAM 1500 Tradesman,"28,990",One Owner,No Accident / Damage Reported,GREAT,"24,078",4 wheel drive,8-Cylinder,8-Speed Automatic,Gasoline,"6'5""",15 City / 21 Highway,Silver
308,Used 2015 Dodge Challenger R/T Plus,"28,990",Multiple Owners,No Accident / Damage Reported,GREAT,"15,653",2 wheel drive - rear,8-Cylinder,6-Speed Manual,Gasoline,15 City / 23 Highway,Silver,Black
309,Used 2017 RAM 1500 Tradesman,"28,990",One Owner,No Accident / Damage Reported,GOOD,"21,537",4 wheel drive,6-Cylinder,8-Speed Automatic,Flexible Fuel,"6'5""",16 City / 23 Highway,Black
310,Used 2017 Ford F150 XL,"28,990",One Owner,No Accident / Damage Reported,GOOD,"18,954",4 wheel drive,6-Cylinder Turbo,6-Speed Automatic,Gasoline,17 City / 23 Highway,White,Gray
311,Used 2015 Chevrolet Silverado 1500 LT,"29,590",Multiple Owners,No Accident / Damage Reported,GREAT,"33,092",4 wheel drive,8-Cylinder,6-Speed Automatic,Gasoline,"6'7""",17 City / 22 Highway,Black
312,Used 2015 Ford Mustang GT Premium,"29,990",Multiple Owners,No Accident / Damage Reported,GREAT,"15,849",2 wheel drive - rear,8-Cylinder,6-Speed Manual,Gasoline,15 City / 25 Highway,Red,Black
313,Used 2015 Chevrolet Suburban 2WD LS,"29,990",One Owner,No Accident / Damage Reported,GREAT,"63,662",2 wheel drive - rear,8-Cylinder,6-Speed Automatic,Flexible Fuel,16 City / 23 Highway,White,Beige
314,Used 2016 Ford F150 XLT,"31,990",One Owner,No Accident / Damage Reported,GREAT,"12,978",2 wheel drive - rear,6-Cylinder Turbo,6-Speed Automatic,Gasoline,"5'6""",18 City / 25 Highway,White
315,Used 2016 Chevrolet Silverado 1500 4x4 Crew Cab LT,"31,990",One Owner,No Accident / Damage Reported,GREAT,"46,780",4 wheel drive,6-Cylinder,6-Speed Automatic,Flexible Fuel,"5'10""",17 City / 22 Highway,Red
316,Used 2013 Ford Mustang Boss 302 Coupe,"32,990",Multiple Owners,No Accident / Damage Reported,GREAT,"17,962",2 wheel drive - rear,8-Cylinder,6-Speed Manual,Gasoline,16 City / 25 Highway,Yellow,Black
317,Used 2017 Chevrolet Silverado 1500 LT w/ Z71,"32,990",One Owner,No Accident / Damage Reported,GREAT,"22,756",4 wheel drive,8-Cylinder,6-Speed Automatic,Gasoline,"6'7""",16 City / 22 Highway,Black
318,Used 2012 Hyundai Sonata GLS,"8,339",One Owner,No Accident / Damage Reported,GOOD,"113,344",2 wheel drive - front,4-Cylinder,6-Speed Automatic,Gasoline,24 City / 34 Highway,Sparkling Ruby Mica,Camel
319,New 2020 Buick Encore FWD Preferred,"24,885",,,,12,2 wheel drive - front,4-Cylinder Turbo,6-Speed Automatic,Gasoline,25 City / 30 Highway,Ebony Twilight Metallic - Black,Ebony Cloth
320,Used 2017 RAM 1500 SLT,"32,990",One Owner,No Accident / Damage Reported,GREAT,"11,721",4 wheel drive,8-Cylinder,8-Speed Automatic,Gasoline,"5'8""",15 City / 21 Highway,White
321,Used 2018 Jeep Wrangler 4WD Unlimited Sport,"32,990",One Owner,No Accident / Damage Reported,GREAT,"8,075",4 wheel drive,6-Cylinder,6-Speed Manual,Gasoline,17 City / 23 Highway,Black,Black
322,Used 2018 Jeep Wrangler 4WD Unlimited Sport,"33,990",One Owner,No Accident / Damage Reported,GREAT,"6,072",4 wheel drive,6-Cylinder,6-Speed Manual,Gasoline,17 City / 23 Highway,Black,Black
323,Used 2019 Ford F150 XL,"35,990",Multiple Owners,No Accident / Damage Reported,GREAT,988,4 wheel drive,6-Cylinder Turbo,10-Speed Automatic,Gasoline,"5'6""",18 City / 23 Highway,Gray
324,Used 2014 Chevrolet Corvette Stingray Coupe,"38,590",One Owner,No Accident / Damage Reported,GREAT,"35,231",2 wheel drive - rear,8-Cylinder,6-Speed Automatic,Gasoline,16 City / 27 Highway,Red,Black
325,New 2020 RAM ProMaster City Tradesman,"24,602",,,,10,2 wheel drive - front,4-Cylinder,9-Speed Automatic,Gasoline,21 City / 28 Highway,Bright White,Black
326,Used 2019 Toyota 4Runner Limited,"43,990",One Owner,No Accident / Damage Reported,GREAT,"10,260",4 wheel drive,6-Cylinder,5-Speed Automatic,Gasoline,17 City / 20 Highway,Gray,Black
327,Used 2014 Toyota Prius V,"11,831",One Owner,No Accident / Damage Reported,GREAT,"87,825",2 wheel drive - front,4-Cylinder,Continuously Variable Automatic,Hybrid Gas/Electric,Information Unavailable,44 City / 40 Highway,Sea Glass Pearl
328,Used 2016 Hyundai Tucson SE,"15,920",Multiple Owners,No Accident / Damage Reported,GREAT,"42,673",All wheel drive,4-Cylinder,6-Speed Automatic,Gasoline,21 City / 26 Highway,Beige,Black
329,Used 2016 Kia Sedona LX w/ LX Convenience Package,"16,920",Multiple Owners,No Accident / Damage Reported,GREAT,"51,222",2 wheel drive - front,6-Cylinder,6-Speed Automatic,Gasoline,18 City / 24 Highway,Gold,Camel Beige
330,Used 2015 Jeep Grand Cherokee Laredo,"21,900",One Owner,No Accident / Damage Reported,GOOD,"30,203",4 wheel drive,6-Cylinder,8-Speed Automatic,Flexible Fuel,17 City / 24 Highway,Black,Black
331,Used 2014 Toyota Tundra Limited,"30,852",Multiple Owners,No Accident / Damage Reported,GOOD,"70,198",2 wheel drive - rear,8-Cylinder,6-Speed Automatic,Gasoline,"5'6""",13 City / 18 Highway,Silver
332,Used 2014 Chevrolet Impala LT w/ Premium Seating Package,"13,988",One Owner,No Accident / Damage Reported,GOOD,"89,326",2 wheel drive - front,6-Cylinder,6-Speed Automatic,Flexible Fuel,19 City / 29 Highway,Silver Ice Metallic,Jet Black
333,Used 2011 Ford Fusion SE,"7,489",Multiple Owners,No Accident / Damage Reported,GOOD,"114,313",2 wheel drive - front,4-Cylinder,6-Speed Automatic,Gasoline,Information Unavailable,Steel Blue Metallic,Charcoal Black
334,Used 2006 Ford F150 XLT,"8,989",Multiple Owners,Accident / Damage Reported,GOOD,"195,634",4 wheel drive,8-Cylinder,4-Speed Automatic,Gasoline,14 City / 18 Highway,Silver Clearcoat Metallic,Dark Flint
335,Used 2013 Chevrolet Impala LT,"8,993",Multiple Owners,Accident / Damage Reported,GOOD,"95,525",2 wheel drive - front,6-Cylinder,6-Speed Automatic,Gasoline,Information Unavailable,Summit White,Ebony
336,Used 2009 Toyota Sienna Limited,"9,944",Multiple Owners,Accident / Damage Reported,GOOD,"125,329",2 wheel drive - front,6-Cylinder,5-Speed Automatic,Gasoline,17 City / 23 Highway,Black,Stone
337,Used 2017 Ford Focus SE Sedan,"12,598",One Owner,No Accident / Damage Reported,GOOD,"41,290",2 wheel drive - front,4-Cylinder,6-Speed Automatic,Flexible Fuel,Information Unavailable,Ingot Silver Metallic,Charcoal Black
338,Used 2011 Lincoln MKX AWD,"12,971",Multiple Owners,Accident / Damage Reported,GOOD,"93,912",All wheel drive,6-Cylinder,6-Speed Automatic,Gasoline,17 City / 23 Highway,Tuxedo Black Metallic,Medium Light Stone
339,Used 2019 Ford Fiesta SE Sedan,"13,589",One Owner,No Accident / Damage Reported,GOOD,"13,078",2 wheel drive - front,4-Cylinder,6-Speed Shiftable Automatic,Gasoline,27 City / 37 Highway,Shadow Black,Charcoal Black
340,Used 2018 Ford Focus SE Sedan,"13,995",One Owner,No Accident / Damage Reported,GOOD,"23,512",2 wheel drive - front,4-Cylinder,6-Speed Automatic,Flexible Fuel,Information Unavailable,White Gold Metallic,Charcoal Black
341,Used 2015 Hyundai Genesis Coupe 3.8,"15,695",Multiple Owners,Accident / Damage Reported,GOOD,"65,950",2 wheel drive - rear,6-Cylinder,6-Speed Manual,Gasoline,16 City / 24 Highway,Ibiza Blue,Black
342,Used 2014 Ford Explorer 4WD,"15,989",One Owner,No Accident / Damage Reported,GOOD,"84,916",4 wheel drive,6-Cylinder,6-Speed Automatic,Gasoline,17 City / 23 Highway,Ruby Red Metallic Tinted Clearcoat,Medium Light Stone
343,Used 2013 Ford Explorer 4WD XLT,"15,989",One Owner,No Accident / Damage Reported,GOOD,"93,985",4 wheel drive,6-Cylinder,6-Speed Automatic,Gasoline,17 City / 23 Highway,White Platinum Metallic Tri-Coat,Medium Light Stone
344,Used 2018 Buick Encore FWD Preferred,"16,590",One Owner,No Accident / Damage Reported,GOOD,"23,567",2 wheel drive - front,4-Cylinder Turbo,6-Speed Automatic,Gasoline,25 City / 33 Highway,Ebony Twilight Metallic,Ebony
345,Used 2015 Lincoln MKX AWD,"18,695",Multiple Owners,No Accident / Damage Reported,GOOD,"70,072",All wheel drive,6-Cylinder,6-Speed Automatic,Gasoline,17 City / 23 Highway,Ruby Red Metallic Tinted Clearcoat,Medium Light Stone
346,New 2020 Hyundai Sonata SEL,"26,179",,,,0,2 wheel drive - front,4-Cylinder,8-Speed Automatic,Gasoline,27 City / 37 Highway,Calypso Red,Dark Gray
347,Used 2020 Lincoln Nautilus AWD Premier,"39,975",One Owner,No Accident / Damage Reported,GOOD,"1,681",All wheel drive,4-Cylinder Turbo,8-Speed Automatic,Gasoline,20 City / 25 Highway,Iced Mocha,2LMPJ8J98LBL09578
348,Used 2018 Ford Taurus SE,"18,989",Multiple Owners,No Accident / Damage Reported,GOOD,"25,595",2 wheel drive - front,6-Cylinder,6-Speed Automatic,Flexible Fuel,18 City / 27 Highway,White Gold Metallic,Dune
349,Used 2017 Ford Explorer 4WD,"22,986",One Owner,No Accident / Damage Reported,GOOD,"37,976",4 wheel drive,4-Cylinder Turbo,6-Speed Automatic,Gasoline,18 City / 25 Highway,Blue Jeans Metallic,Medium Light Camel
350,Used 2012 Ford F150 XLT,"22,995",Multiple Owners,No Accident / Damage Reported,,"107,060",4 wheel drive,6-Cylinder Turbo,6-Speed Automatic,Gasoline,14 City / 19 Highway,Ingot Silver Metallic,Steel Gray
351,Used 2013 Ford F150 FX4,"26,689",Multiple Owners,Accident / Damage Reported,GOOD,"95,926",4 wheel drive,6-Cylinder Turbo,6-Speed Automatic,Gasoline,14 City / 19 Highway,Oxford White,Black
352,Used 2018 Jeep Grand Cherokee Laredo,"27,773",One Owner,No Accident / Damage Reported,GOOD,"26,261",4 wheel drive,6-Cylinder,8-Speed Automatic,Gasoline,18 City / 25 Highway,Velvet Red Pearlcoat,Light Frost Beige/Black
353,New 2020 GMC Terrain FWD SLE,"20,340",,,,6,2 wheel drive - front,4-Cylinder Turbo,9-Speed Automatic,Gasoline,26 City / 30 Highway,Satin Steel Metallic - Gray,Jet Black Cloth
354,Used 2019 Ford Edge FWD SEL,"27,995",One Owner,Accident / Damage Reported,GOOD,"14,079",2 wheel drive - front,4-Cylinder Turbo,8-Speed Automatic,Gasoline,22 City / 29 Highway,Ingot Silver Metallic,Ebony
355,Used 2014 Ford F150 SuperCrew Limited,"29,989",Multiple Owners,No Accident / Damage Reported,GOOD,"72,390",4 wheel drive,6-Cylinder Turbo,6-Speed Automatic,Gasoline,"5'6""",15 City / 21 Highway,Ingot Silver Metallic
356,Used 2019 Ford Mustang GT Coupe,"34,917",One Owner,No Accident / Damage Reported,GOOD,"10,701",2 wheel drive - rear,8-Cylinder,Information Unavailable,Gasoline,Information Unavailable,Velocity Blue Metallic,Ebony
357,Used 2019 Dodge Charger R/T Scat Pack,"43,989",One Owner,No Accident / Damage Reported,GOOD,"11,104",2 wheel drive - rear,8-Cylinder,8-Speed Automatic,Gasoline,15 City / 24 Highway,White Knuckle Clearcoat,Ruby Red/Black
358,Used 2019 Nissan Armada 4WD Platinum,"49,872",One Owner,No Accident / Damage Reported,GOOD,"12,145",All wheel drive,8-Cylinder,7-Speed Automatic,Gasoline,13 City / 18 Highway,Super Black,Charcoal
359,Used 2016 Jeep Renegade FWD Sport w/ Power & Air Group,"10,850",One Owner,No Accident / Damage Reported,GREAT,"65,922",2 wheel drive - front,4-Cylinder Turbo,6-Speed Manual,Gasoline,24 City / 31 Highway,Omaha Orange,Black
360,Used 2018 Dodge Grand Caravan SE,"13,250",One Owner,No Accident / Damage Reported,GREAT,"73,658",2 wheel drive - front,6-Cylinder,6-Speed Automatic,Flexible Fuel,17 City / 25 Highway,Granite Pearlcoat,Black/Light Graystone
361,Used 2018 Ford Focus SE Hatchback,"13,875",One Owner,No Accident / Damage Reported,GOOD,"22,983",2 wheel drive - front,4-Cylinder,6-Speed Automatic,Flexible Fuel,26 City / 38 Highway,Oxford White,Charcoal Black
362,Used 2019 Volkswagen Jetta S,"15,250",One Owner,No Accident / Damage Reported,GREAT,"16,939",2 wheel drive - front,4-Cylinder Turbo,8-Speed Automatic,Gasoline,30 City / 39 Highway,Blue Silk Metallic,Storm Gray
363,Used 2018 Dodge Journey FWD SE,"15,500",One Owner,No Accident / Damage Reported,GREAT,"45,992",2 wheel drive - front,4-Cylinder,4-Speed Automatic,Gasoline,19 City / 25 Highway,Contusion Blue Pearlcoat,Black
364,Used 2019 Jeep Compass Limited,"18,665",One Owner,No Accident / Damage Reported,GREAT,"45,866",2 wheel drive - front,4-Cylinder,6-Speed Automatic,Gasoline,22 City / 31 Highway,Redline Pearlcoat,Black
365,Certified 2019 Dodge Journey AWD Crossroad,"20,000",One Owner,No Accident / Damage Reported,GREAT,"30,985",All wheel drive,6-Cylinder,6-Speed Automatic,Gasoline,16 City / 24 Highway,Pitch Black Clearcoat,Black
367,Certified 2019 Jeep Compass 4WD Trailhawk,"20,250",One Owner,Accident / Damage Reported,GREAT,"44,662",4 wheel drive,4-Cylinder,9-Speed Automatic,Gasoline,22 City / 30 Highway,Billet Silver Metallic Clearcoat,Ruby Red/Black
368,Used 2018 Volkswagen Tiguan SEL,"21,000",One Owner,No Accident / Damage Reported,GREAT,"38,141",2 wheel drive - front,4-Cylinder Turbo,8-Speed Automatic,Gasoline,22 City / 27 Highway,Silk Blue Metallic,Titan Black
369,Certified 2019 Dodge Charger SXT,"23,000",One Owner,No Accident / Damage Reported,GREAT,"33,008",2 wheel drive - rear,6-Cylinder,8-Speed Automatic,Gasoline,19 City / 30 Highway,Triple Nickel Clearcoat,Black
371,Used 2019 Chevrolet Traverse FWD LT,"23,500",One Owner,Accident / Damage Reported,GREAT,"90,099",2 wheel drive - front,6-Cylinder,9-Speed Automatic,Gasoline,18 City / 27 Highway,Silver Ice Metallic,Jet Black
372,Used 2017 Audi A6 2.0T Premium quattro,"27,750",One Owner,No Accident / Damage Reported,GOOD,"30,424",All wheel drive,4-Cylinder Turbo,8-Speed Automatic,Gasoline,22 City / 31 Highway,Moonlight Blue Metallic,Nougat Brown
373,Used 2017 Jeep Grand Cherokee 4WD Limited,"28,500",One Owner,No Accident / Damage Reported,GOOD,"35,857",4 wheel drive,6-Cylinder,8-Speed Automatic,Gasoline,18 City / 25 Highway,Diamond Black Crystal Pearlcoat,Light Frost Beige/Black
374,Used 2017 Lexus IS 300 AWD,"28,550",One Owner,No Accident / Damage Reported,GOOD,"39,967",All wheel drive,6-Cylinder,6-Speed Automatic,Gasoline,19 City / 26 Highway,Ultrasonic Blue Mica 2.0,Flaxen
375,Used 2017 Jeep Grand Cherokee Altitude,"29,500",One Owner,No Accident / Damage Reported,GOOD,"33,281",4 wheel drive,6-Cylinder,8-Speed Automatic,Gasoline,18 City / 25 Highway,Diamond Black Crystal Pearlcoat,Black
376,Used 2018 Ford F150 4x4 SuperCrew,"37,495",One Owner,No Accident / Damage Reported,,"89,211",4 wheel drive,6-Cylinder Turbo,10-Speed Automatic,Gasoline,"5'6""",19 City / 24 Highway,White Platinum Metallic Tri-Coat - White
377,New 2020 Honda CR-V AWD LX,"26,049",,,,5,All wheel drive,4-Cylinder Turbo,Continuously Variable Automatic,Gasoline,27 City / 32 Highway,Platinum White Pearl,Ivory
378,Used 2019 Ford Ranger XLT,"30,000",One Owner,No Accident / Damage Reported,GREAT,"38,085",4 wheel drive,4-Cylinder Turbo,10-Speed Automatic,Gasoline,5',20 City / 24 Highway,Oxford White
379,Certified 2019 Jeep Grand Cherokee Limited,"30,000",One Owner,Accident / Damage Reported,GREAT,"25,946",4 wheel drive,6-Cylinder,8-Speed Automatic,Gasoline,18 City / 25 Highway,Billet Silver Metallic Clearcoat,Black
381,Used 2017 Lexus RX 350 AWD,"34,375",One Owner,No Accident / Damage Reported,GOOD,"40,000",All wheel drive,6-Cylinder,8-Speed Automatic,Gasoline,19 City / 26 Highway,Nebula Gray Pearl,Black
382,Used 2019 Ford Expedition Max 4WD XLT,"37,000",One Owner,No Accident / Damage Reported,GREAT,"60,614",4 wheel drive,6-Cylinder Turbo,10-Speed Automatic,Gasoline,16 City / 21 Highway,Black,Ebony
383,Used 2019 RAM 1500 4x4 Crew Cab Big Horn,"38,000",One Owner,No Accident / Damage Reported,GREAT,"24,608",4 wheel drive,8-Cylinder,8-Speed Automatic,Gasoline,"6'5""",19 City / 24 Highway,Granite Crystal Metallic Clearcoat
385,Used 2019 Volvo XC90 AWD T6 Momentum,"39,000",Multiple Owners,Accident / Damage Reported,GREAT,"30,846",All wheel drive,4-Cylinder Turbo,8-Speed Automatic,Gasoline,19 City / 26 Highway,Ice White,Charcoal
387,Used 2012 Honda Odyssey EX-L,"10,585",One Owner,No Accident / Damage Reported,GREAT,"145,461",2 wheel drive - front,6-Cylinder,5-Speed Automatic,Gasoline,18 City / 27 Highway,Taffeta White,Gray
388,Used 2014 Hyundai Santa Fe FWD Sport,"14,288",One Owner,No Accident / Damage Reported,GOOD,"73,358",2 wheel drive - front,4-Cylinder,6-Speed Automatic,Gasoline,20 City / 27 Highway,Mineral Gray,Gray
389,Used 2015 Hyundai Santa Fe FWD Sport w/ Option Group 02,"14,895",Multiple Owners,Accident / Damage Reported,GOOD,"65,671",2 wheel drive - front,4-Cylinder,6-Speed Automatic,Gasoline,20 City / 27 Highway,Mineral Gray,Gray
390,Used 2018 Hyundai Sonata SEL,"14,995",One Owner,No Accident / Damage Reported,GOOD,"68,038",2 wheel drive - front,4-Cylinder,6-Speed Automatic,Gasoline,25 City / 35 Highway,Symphony Silver,Gray
391,Used 2014 Audi Q5 2.0T Premium,"18,795",Multiple Owners,No Accident / Damage Reported,,"57,798",All wheel drive,4-Cylinder Turbo,8-Speed Automatic,Flexible Fuel,20 City / 27 Highway,Brilliant Black,Black
392,Used 2017 Hyundai Santa Fe AWD Sport,"18,895",One Owner,No Accident / Damage Reported,GOOD,"39,212",All wheel drive,4-Cylinder,6-Speed Automatic,Gasoline,20 City / 26 Highway,Red,Beige
393,Certified 2017 Hyundai Tucson Night,"19,290",Multiple Owners,No Accident / Damage Reported,,"28,304",2 wheel drive - front,4-Cylinder Turbo,7-Speed Automatic,Gasoline,25 City / 30 Highway,Caribbean Blue,Black
394,Used 2017 Jeep Compass Limited,"22,779",One Owner,No Accident / Damage Reported,GOOD,"30,328",4 wheel drive,4-Cylinder,9-Speed Automatic,Gasoline,22 City / 30 Highway,Jazz Blue Pearlcoat,Black
395,Used 2017 GMC Acadia AWD All Terrain,"24,594",One Owner,No Accident / Damage Reported,GREAT,"45,814",All wheel drive,6-Cylinder,6-Speed Automatic,Gasoline,18 City / 25 Highway,Iridium Metallic,Jet Black
396,Used 2017 Chevrolet Traverse AWD Premier,"26,299",One Owner,No Accident / Damage Reported,GREAT,"58,141",All wheel drive,6-Cylinder,6-Speed Automatic,Gasoline,15 City / 22 Highway,Mosaic Black Metallic,Ebony
397,Used 2015 Mitsubishi Mirage DE,"6,332",Multiple Owners,Accident / Damage Reported,GREAT,"80,892",2 wheel drive - front,3-Cylinder,Continuously Variable Automatic,Gasoline,36 City / 42 Highway,Blue,Black
398,Used 2014 Kia Sportage FWD LX,"11,320",One Owner,No Accident / Damage Reported,GOOD,"80,065",2 wheel drive - front,4-Cylinder,6-Speed Automatic,Gasoline,21 City / 28 Highway,Bright Silver,Alpine Gray
399,Used 2017 Hyundai Tucson SE,"16,355",One Owner,No Accident / Damage Reported,GOOD,"40,325",2 wheel drive - front,4-Cylinder,6-Speed Automatic,Gasoline,23 City / 30 Highway,Black,Black
400,Used 2019 Hyundai Tucson AWD SE,"18,372",One Owner,No Accident / Damage Reported,GREAT,"29,080",All wheel drive,4-Cylinder,6-Speed Automatic,Gasoline,22 City / 25 Highway,Gemstone Red,Black
401,Used 2014 Toyota Highlander Limited,"23,458",Multiple Owners,Accident / Damage Reported,GOOD,"86,401",All wheel drive,6-Cylinder,6-Speed Automatic,Gasoline,18 City / 24 Highway,Black,Black
402,Used 2014 Kia Sorento AWD EX V6,"7,891",One Owner,No Accident / Damage Reported,GREAT,"175,629",All wheel drive,6-Cylinder,6-Speed Automatic,Gasoline,18 City / 24 Highway,Titanium Silver,Beige
403,Used 2014 Mercedes-Benz CLA 250,"15,291",One Owner,Accident / Damage Reported,GREAT,"96,565",2 wheel drive - front,4-Cylinder Turbo,7-Speed Automatic,Gasoline,26 City / 38 Highway,Night Black,Black
404,Used 2017 Lincoln MKZ Select,"15,991",One Owner,No Accident / Damage Reported,GREAT,"71,966",2 wheel drive - front,4-Cylinder Turbo,6-Speed Automatic,Gasoline,21 City / 31 Highway,White Platinum Metallic Tri-Coat,Cappuccino
405,New 2020 GMC Terrain FWD SLE,"21,115",,,,"5,267",2 wheel drive - front,4-Cylinder Turbo,9-Speed Automatic,Gasoline,26 City / 30 Highway,Quicksilver Metallic - Gray,Jet Black Cloth
407,Used 2019 MAZDA MAZDA3 Sedan w/ Premium Package,"18,591",Multiple Owners,No Accident / Damage Reported,GREAT,"22,774",2 wheel drive - front,4-Cylinder,6-Speed Automatic,Gasoline,26 City / 35 Highway,Snowflake White Pearl Mica,Black
408,Used 2016 Honda Accord EX Sedan,"18,691",One Owner,No Accident / Damage Reported,GOOD,"55,609",2 wheel drive - front,4-Cylinder,Continuously Variable Automatic,Gasoline,27 City / 36 Highway,Deep Blue Opal Metallic,Ivory
409,Used 2019 Toyota Camry SE,"19,991",One Owner,No Accident / Damage Reported,GREAT,"46,223",2 wheel drive - front,4-Cylinder,8-Speed Automatic,Gasoline,29 City / 41 Highway,Predawn Gray Mica,Black
410,Used 2019 Toyota Camry SE,"19,991",One Owner,Accident / Damage Reported,GREAT,"38,720",2 wheel drive - front,4-Cylinder,8-Speed Automatic,Gasoline,29 City / 41 Highway,Midnight Black Metallic,Black
411,Used 2017 Ford Edge AWD Titanium,"21,691",Multiple Owners,No Accident / Damage Reported,GREAT,"61,679",All wheel drive,4-Cylinder Turbo,6-Speed Automatic,Gasoline,20 City / 27 Highway,Ingot Silver Metallic,Ebony
412,New 2020 Hyundai Santa Fe AWD SEL w/ Convenience Package,"29,779",,,,12,All wheel drive,4-Cylinder,8-Speed Automatic,Gasoline,21 City / 27 Highway,Lava Orange,Espresso/Gray
413,Used 2019 Chrysler 300 Touring,"22,891",One Owner,No Accident / Damage Reported,GOOD,"11,550",2 wheel drive - rear,6-Cylinder,8-Speed Automatic,Gasoline,19 City / 30 Highway,Gloss Black,Linen/Black
414,Used 2020 Chrysler Pacifica Touring,"24,991",Multiple Owners,No Accident / Damage Reported,GREAT,"26,289",2 wheel drive - front,6-Cylinder,9-Speed Automatic,Gasoline,19 City / 28 Highway,Bright White Clearcoat,Black/Alloy
415,Used 2018 Ford Explorer FWD XLT,"24,991",One Owner,Accident / Damage Reported,,"19,430",2 wheel drive - front,4-Cylinder Turbo,6-Speed Automatic,Gasoline,19 City / 27 Highway,Platinum Dune Metallic Tri-Coat,Ebony Black
416,Used 2017 Ford Explorer 4WD Limited,"26,991",Multiple Owners,No Accident / Damage Reported,GREAT,"65,116",4 wheel drive,6-Cylinder,6-Speed Automatic,Gasoline,16 City / 22 Highway,Shadow Black,Ebony Black
417,Used 2019 Honda CR-V AWD EX-L,"27,591",Multiple Owners,No Accident / Damage Reported,GREAT,"18,860",All wheel drive,4-Cylinder Turbo,Continuously Variable Automatic,Gasoline,27 City / 33 Highway,Platinum White Pearl,Ivory
418,Used 2018 Audi Q5 2.0T Premium,"27,991",One Owner,No Accident / Damage Reported,GREAT,"34,571",All wheel drive,4-Cylinder Turbo,7-Speed Automatic,Gasoline,23 City / 27 Highway,Florett Silver Metallic,Black
419,Used 2017 Lexus ES 350,"29,591",Multiple Owners,No Accident / Damage Reported,,"20,952",2 wheel drive - front,6-Cylinder,6-Speed Automatic,Gasoline,21 City / 30 Highway,Eminent White Pearl,Stratus Gray
420,Used 2017 Dodge Durango AWD GT,"30,591",One Owner,No Accident / Damage Reported,GOOD,"31,343",All wheel drive,6-Cylinder,8-Speed Automatic,Gasoline,18 City / 25 Highway,Granite Metallic Clearcoat,Black
421,Used 2019 Ford Mustang GT Coupe,"34,391",One Owner,No Accident / Damage Reported,GOOD,"10,301",2 wheel drive - rear,8-Cylinder,Information Unavailable,Gasoline,Information Unavailable,Race Red,Ebony
422,Used 2020 Chevrolet Suburban LT,"43,991",One Owner,No Accident / Damage Reported,GREAT,"40,091",4 wheel drive,8-Cylinder,6-Speed Automatic,Gasoline,14 City / 21 Highway,Summit White,Jet Black
423,Used 2015 Ford F250 XLT,"42,500",Multiple Owners,No Accident / Damage Reported,GREAT,"39,052",4 wheel drive,8-Cylinder Turbo,6-Speed Automatic,Diesel,Information Unavailable,Vermillion Red,Steel
424,Used 2017 Buick Encore FWD Essence,"16,731",One Owner,No Accident / Damage Reported,GOOD,"38,836",2 wheel drive - front,4-Cylinder Turbo,6-Speed Automatic,Gasoline,25 City / 33 Highway,Quicksilver Metallic,Ebony
