,year,brand,make_model,price,price_bin,price_rating,mileage,mileage_15,mpg_city,mpg_highway,combined_mpg,condition,accident,one_owner,drive_type,fuel_type,engine,engine_#,automatic,turbo,electric,transmission,trans_#,interior,exterior,color
157,2020,16,Jeep Wrangler 4WD Unlimited Sport,37990.0,12,2,2670,1,17,23,40,1,1,1,1,0,6-Cylinder,6,0,0,0,6-Speed Manual,6,Black,Black,Black
158,2018,9,Toyota Tundra 4x4 CrewMax SR5,43590.0,13,2,15251,3,5,0,5,1,1,0,1,1,8-Cylinder,8,1,0,0,6-Speed Automatic,6,Gray,N/A,N/A
159,2016,13,Kia Soul +,12738.0,2,2,56771,11,24,31,55,1,1,0,0,0,4-Cylinder,4,1,0,0,6-Speed Automatic,6,Black,White,White
160,2017,13,Kia Sorento LX,17999.0,4,2,33859,7,21,25,46,1,1,1,1,0,4-Cylinder,4,1,0,0,6-Speed Automatic,6,Black,Sangria,N/A
161,2017,13,Kia Sedona LX,18698.0,5,2,29122,6,18,24,42,1,0,1,0,0,6-Cylinder,6,1,0,0,6-Speed Automatic,6,N/A,White,White
162,2020,12,Nissan Altima 2.5 S,18758.0,5,2,13911,2,28,39,67,1,0,1,0,0,4-Cylinder,4,1,0,0,Continuously Variable Automatic,0,N/A,Gray,Gray
163,2020,13,Kia Soul EX,19450.0,5,2,4489,1,27,33,60,1,1,1,0,0,4-Cylinder,4,1,0,0,Continuously Variable Automatic,0,Black,Solar Yellow,Yellow
164,2020,4,Hyundai Sonata SEL Plus w/ Tech Package,22900.0,7,2,9906,2,27,36,63,1,1,1,0,0,4-Cylinder Turbo,4,1,1,0,8-Speed Automatic,8,Black,Hampton Gray,Gray
165,2020,13,Kia Sedona LX,25295.0,8,2,4744,1,18,24,42,1,1,1,0,0,6-Cylinder,6,1,0,0,8-Speed Automatic,8,Gray,Silky Silver,Silver
166,2017,17,Cadillac XT5 AWD Luxury,26997.0,9,2,34379,8,18,26,44,1,1,1,1,0,6-Cylinder,6,1,0,0,8-Speed Automatic,8,Black,Gray,Gray
167,2017,3,Ford Explorer 4WD XLT,26980.0,9,2,44249,10,16,23,39,1,1,0,1,0,6-Cylinder,6,1,0,0,6-Speed Automatic,6,Ebony,Shadow Black,Black
168,2021,8,GMC Acadia AWD Denali,50750.0,14,0,271,0,18,25,43,3,1,1,1,0,6-Cylinder,6,1,0,0,9-Speed Automatic,9,Black,White Frost Tricoat - White,White
169,2020,0,Chevrolet Trax FWD LT w/ 1LT,17144.0,4,0,1,0,26,31,57,3,1,1,0,0,4-Cylinder Turbo,4,1,1,0,6-Speed Automatic,6,Black,Summit White - White,White
