,0,1,2,3,4,5,6,7,8,9
830,Used 2012 Chevrolet Silverado 1500 2WD Extended Cab LT,"16,990","96,573",2 wheel drive - rear,8-Cylinder,4-Speed Automatic,Flexible Fuel,"6'7""",14 City / 19 Highway,Silver
831,Used 2018 Ford C-MAX SE,"16,990","9,302",2 wheel drive - front,4-Cylinder,Continuously Variable Automatic,Hybrid Gas/Electric,Information Unavailable,42 City / 38 Highway,Gray
832,Used 2013 Honda Accord EX-L Coupe,"17,590","59,327",2 wheel drive - front,6-Cylinder,6-Speed Automatic,Gasoline,21 City / 32 Highway,Blue,Black
833,Used 2015 MAZDA MX-5 Miata Club Hard Top,"17,990","34,926",2 wheel drive - rear,4-Cylinder,6-Speed Automatic,Gasoline,21 City / 27 Highway,Silver,Other
834,Used 2012 Toyota Tacoma 2WD Regular Cab,"17,990","16,774",2 wheel drive - rear,4-Cylinder,4-Speed Automatic,Gasoline,6',19 City / 24 Highway,Gray
835,Used 2012 RAM 1500 4x4 Regular Cab ST,"19,990","67,873",4 wheel drive,8-Cylinder,6-Speed Automatic,Gasoline,"6'5""",13 City / 19 Highway,Red
836,Used 2020 Toyota Corolla LE Hybrid Sedan,"19,990","17,166",2 wheel drive - front,4-Cylinder,Continuously Variable Automatic,Hybrid Gas/Electric,Information Unavailable,53 City / 52 Highway,White
837,Used 2018 Ford Taurus SEL AWD,"19,990","41,457",All wheel drive,6-Cylinder,6-Speed Automatic,Flexible Fuel,17 City / 24 Highway,Blue,Black
838,Used 2012 Toyota Tacoma 2WD Access Cab,"19,990","24,817",2 wheel drive - rear,4-Cylinder,Information Unavailable,Gasoline,6',Information Unavailable,Blue
839,Used 2011 Honda Ridgeline RTL,"20,990","83,474",4 wheel drive,6-Cylinder,5-Speed Automatic,Gasoline,5',15 City / 20 Highway,Gray
840,Used 2014 RAM 1500 Tradesman,"20,990","34,384",2 wheel drive - rear,6-Cylinder,8-Speed Automatic,Flexible Fuel,"6'5""",17 City / 25 Highway,Silver
841,Used 2012 Lexus RX 350 AWD,"20,990","39,752",All wheel drive,6-Cylinder,6-Speed Automatic,Gasoline,18 City / 24 Highway,Red,Black
842,Used 2012 Mercedes-Benz E 550 Cabriolet,"21,990","61,594",2 wheel drive - rear,8-Cylinder Turbo,7-Speed Automatic,Gasoline,16 City / 25 Highway,Black,Black
843,Used 2011 Ford Ranger XLT,"21,990","27,968",4 wheel drive,6-Cylinder,5-Speed Automatic with Overdrive,Gasoline,6',Information Unavailable,Red
845,New 2020 Ford Explorer 4WD XLT,"43,026",4,4 wheel drive,4-Cylinder Turbo,10-Speed Automatic,Gasoline,20 City / 27 Highway,Atlas Blue Metallic,Ebony With Light Slate Uppers
846,Used 2013 Chevrolet Silverado 1500 LT,"22,990","68,708",4 wheel drive,8-Cylinder,6-Speed Automatic,Flexible Fuel,"6'7""",13 City / 18 Highway,Silver
847,Used 2013 Ford F150 XLT,"22,990","42,917",2 wheel drive - rear,8-Cylinder,6-Speed Automatic,Flexible Fuel,15 City / 21 Highway,Red,Gray
848,Used 2017 Toyota Tacoma 2WD Access Cab,"23,990","22,239",2 wheel drive - rear,4-Cylinder,6-Speed Automatic,Gasoline,6',19 City / 23 Highway,Black
849,Used 2012 Jeep Wrangler 4WD Sport,"24,590","43,942",4 wheel drive,6-Cylinder,6-Speed Manual,Gasoline,17 City / 21 Highway,Orange,Black
850,Used 2013 Porsche Cayenne,"24,590","67,998",All wheel drive,6-Cylinder,Information Unavailable,Gasoline,Information Unavailable,White,Black
851,Used 2015 Chevrolet Traverse FWD LT w/ 2LT,"12,995","114,027",2 wheel drive - front,6-Cylinder,6-Speed Automatic,Gasoline,17 City / 24 Highway,Silver Ice Metallic - Gray,Dark Titanium/Light Titanium C
852,Used 2020 Toyota Prius Prime,"24,990",716,2 wheel drive - front,4-Cylinder,Continuously Variable Automatic,Hybrid Gas/Electric,25 miles,55 City / 53 Highway,Gray
853,Used 2011 Jeep Wrangler 4WD Rubicon,"24,990","38,813",4 wheel drive,6-Cylinder,4-Speed Automatic,Gasoline,Information Unavailable,Black,Brown
854,Used 2017 Chevrolet Colorado 4x4 Crew Cab W/T,"25,200","27,442",4 wheel drive,6-Cylinder,8-Speed Automatic,Gasoline,"5'2""",17 City / 24 Highway,Red
855,Used 2017 Chevrolet Camaro LT Convertible w/ 1LT,"25,990","7,240",2 wheel drive - rear,4-Cylinder Turbo,8-Speed Automatic,Gasoline,22 City / 31 Highway,Silver,Black
856,Used 2013 Toyota Tundra 4x4 Double Cab,"25,990","66,317",4 wheel drive,8-Cylinder,6-Speed Automatic,Gasoline,"6'6""",14 City / 19 Highway,Gray
857,Used 2015 Jeep Wrangler 4WD Sport,"25,990","35,027",4 wheel drive,6-Cylinder,5-Speed Automatic,Gasoline,Information Unavailable,Black,Black
858,Used 2015 Jeep Grand Cherokee 2WD Overland,"25,990","35,610",2 wheel drive - rear,6-Cylinder,8-Speed Automatic,Flexible Fuel,17 City / 25 Highway,Black,Black
859,Used 2017 Toyota Tacoma 2WD Double Cab,"26,990","24,483",2 wheel drive - rear,4-Cylinder,6-Speed Automatic,Gasoline,5',19 City / 23 Highway,Red
860,Used 2017 RAM 1500 Express,"27,990","27,241",4 wheel drive,6-Cylinder,8-Speed Automatic,Flexible Fuel,"6'5""",16 City / 23 Highway,Red
861,Used 2017 Nissan Titan SV,"27,990","39,792",2 wheel drive - rear,8-Cylinder,7-Speed Automatic,Gasoline,"5'6""",15 City / 21 Highway,Silver
862,Used 2017 Ford F150 XLT,"28,590","20,720",2 wheel drive - rear,6-Cylinder,6-Speed Automatic,Flexible Fuel,"6'6""",18 City / 24 Highway,Gray
863,Used 2016 RAM 1500 Big Horn,"28,590","44,803",4 wheel drive,6-Cylinder,8-Speed Automatic,Flexible Fuel,"5'8""",16 City / 23 Highway,Black
864,Used 2017 Ford F150 XL,"28,990","18,954",4 wheel drive,6-Cylinder Turbo,6-Speed Automatic,Gasoline,17 City / 23 Highway,White,Gray
865,Used 2013 Toyota Tundra 4x4 Double Cab,"28,990","23,490",4 wheel drive,8-Cylinder,6-Speed Automatic,Gasoline,"6'6""",13 City / 17 Highway,Red
866,Used 2012 GMC Sierra 1500 AWD Crew Cab Denali,"28,990","62,337",All wheel drive,8-Cylinder,6-Speed Automatic,Flexible Fuel,"5'10""",12 City / 18 Highway,Black
867,Used 2016 Chevrolet Colorado 4x4 Crew Cab Z71,"30,990","36,699",4 wheel drive,6-Cylinder,6-Speed Automatic,Gasoline,"5'2""",17 City / 24 Highway,Gray
868,Used 2014 GMC Sierra 1500 SLT,"30,990","85,529",4 wheel drive,8-Cylinder,6-Speed Automatic,Flexible Fuel,"6'7""",16 City / 22 Highway,Red
869,Used 2015 Toyota 4Runner SR5,"30,990","51,905",4 wheel drive,6-Cylinder,5-Speed Automatic,Gasoline,17 City / 21 Highway,Gray,Black
870,Used 2017 Toyota Tacoma 4x4 Double Cab,"31,990","11,074",4 wheel drive,6-Cylinder,6-Speed Automatic,Gasoline,5',Information Unavailable,White
871,Used 2014 GMC Sierra 1500 2WD Crew Cab SLT,"33,590","46,145",2 wheel drive - rear,8-Cylinder,6-Speed Automatic,Flexible Fuel,"5'10""",16 City / 23 Highway,Blue
872,Used 2019 Dodge Durango AWD SXT,"35,995","16,140",All wheel drive,6-Cylinder,8-Speed Automatic,Gasoline,18 City / 25 Highway,White Knuckle Clearcoat,Black W/Cloth Low-Back Bucket 
874,Used 2016 Ford Focus RS Hatchback,"34,990","32,573",All wheel drive,4-Cylinder Turbo,6-Speed Manual,Gasoline,19 City / 25 Highway,Blue,Black
875,Used 2019 Ford Mustang GT Coupe,"35,590","4,572",2 wheel drive - rear,8-Cylinder,Information Unavailable,Gasoline,Information Unavailable,Red,Black
